date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2024-08-13,-3.19,-2.95,78.12,255.63,0.72,0.11,3.18,26.40,13.29,0.99,1.32,2.34,27.81,113.69,28.64,38.96,93976.25,228540.91,20.92,75.15,1829.50,12967.94,7878.97,584.01,811.82,592.58,122.42,100329.19,330940.41,5651640.71,36776017.08,113107.16,20080.51,327875.98,3696069.33,2141653.25,164079.45,189593.31,453445.71,4265504.16,9504570.72,3136769.84,2207860.47
2024-08-14,-2.81,-2.51,79.13,262.41,0.88,0.11,3.97,28.58,21.10,1.45,1.28,2.56,34.03,80.49,27.11,37.41,95209.53,234623.50,25.03,73.31,2283.47,13711.15,12384.88,852.47,789.33,625.80,134.30,116293.52,234406.43,8156886.55,37369169.64,124954.71,26644.59,511897.47,4387989.36,3727478.83,235937.55,175797.48,497951.91,5914309.28,7869493.83,2590912.16,2393843.81
2024-08-15,-3.29,-3.26,77.60,247.98,1.27,0.08,2.04,22.85,13.46,0.67,1.28,2.60,33.40,96.65,38.11,45.59,93394.93,221716.71,41.26,55.17,1176.52,11317.52,7857.43,392.50,785.27,583.59,135.95,-1345.82,13600.60,4349384.79,42829495.55,198714.77,33953.04,83844.24,3822265.38,3254052.71,90436.78,137279.63,587732.39,7920115.56,5062156.37,1903313.43,1466718.67
2024-08-16,-2.83,-3.91,82.65,244.77,0.96,0.00,2.59,20.62,12.14,0.90,1.29,2.44,31.56,101.49,33.39,50.06,99123.55,219015.70,37.96,0.00,1488.68,10321.71,7095.37,528.74,792.97,585.36,116.20,83088.33,204953.19,7988280.63,31420640.23,123515.84,0.00,179588.25,2784414.13,1893235.84,119964.21,149605.73,389565.29,4697183.92,8397815.96,2177542.40,2657972.36
2024-08-17,-2.58,-8.16,82.46,216.18,0.77,0.00,3.53,19.56,6.96,1.38,1.23,1.61,26.72,106.78,31.12,59.57,98915.31,193104.85,28.58,0.00,2032.71,9699.53,4058.13,816.33,755.22,565.50,86.69,33123.82,-89715.77,8720507.64,17316098.70,62724.99,0.00,371928.47,2297945.96,854811.65,191097.79,74135.88,219574.05,3576595.37,8107761.77,7589.78,-221839.56
2024-08-18,-2.18,-5.55,87.48,231.06,0.71,0.00,5.23,32.25,14.07,2.34,1.33,1.96,40.30,33.02,36.79,62.01,105080.22,206552.70,24.66,0.00,3013.97,14894.58,8338.51,1381.37,818.79,628.85,135.42,106887.94,-40658.50,12773557.18,28258646.94,97948.43,0.00,920841.09,5156440.48,2926961.18,438410.42,112670.55,455112.86,7800388.11,4455150.50,1197378.97,1027302.07
2024-08-19,-2.71,-5.00,93.04,233.99,0.81,0.10,2.65,24.29,12.33,0.76,1.34,2.25,38.16,81.71,45.40,60.55,111459.13,209344.03,30.11,102.88,1523.85,11709.18,7218.81,449.13,830.73,581.10,106.37,123840.58,-17507.28,9560106.47,25250813.47,90113.98,19198.52,248593.29,3134103.75,2000842.80,96752.61,113208.82,387435.61,5646965.26,7670368.10,1270008.92,787600.86
2024-08-20,-2.69,-7.83,87.23,222.06,0.67,0.00,2.37,16.87,6.60,0.61,1.34,2.09,28.18,134.99,38.43,53.79,104464.03,198266.92,27.14,0.00,1364.30,8445.13,3890.24,360.57,826.68,543.26,76.11,-17769.01,37750.37,4352567.20,19248074.19,60375.06,0.00,105858.80,2078420.40,850021.15,81309.45,100897.81,248400.71,3925708.50,7395454.10,582561.87,340055.14
2024-08-21,-2.83,-5.96,79.86,212.82,0.85,0.00,2.48,17.72,8.90,1.24,1.33,1.89,30.18,119.97,36.00,63.50,96018.30,190269.30,33.12,0.00,1427.21,8516.22,5245.96,733.48,824.39,533.62,75.42,40630.09,-71159.29,6333057.98,16721124.89,60433.74,0.00,217922.54,1888196.35,1103919.66,147855.56,89433.39,237856.51,3317021.36,8042412.02,7690.64,-335702.24
2024-08-22,-2.58,-6.54,80.98,221.39,0.85,0.07,3.67,23.56,12.78,1.39,1.29,2.51,39.69,82.41,37.68,67.67,97430.04,197658.02,33.41,84.88,2111.29,10866.71,7678.02,821.82,798.64,560.11,90.41,40965.35,-190038.08,6180538.42,19341090.87,68116.68,143332.93,810122.68,3550787.17,3520094.58,197187.88,88686.77,838880.90,4379747.89,6073351.11,9730.32,-833416.77
2024-08-23,-1.99,-7.06,82.25,223.80,0.88,0.02,2.03,9.80,3.98,0.06,1.34,1.43,37.12,108.72,45.39,63.57,98431.54,199515.74,34.09,20.40,1166.35,4755.94,2327.30,35.11,827.61,537.52,56.13,-1797.17,-42650.25,2905525.17,17819457.37,61122.91,565.52,47024.50,817725.62,350659.31,5124.35,85390.93,124877.26,1978117.70,3649267.57,132533.92,-428017.68
