REZ ID,REZ Name,Region,NTNDP zone,ISP Sub-region,WH,WM,WFX,WFL,SAT,Resource penalty,Transmission expansion penalty,Wind Hard Limit,Solar Hard Limit,Land area kmsq
Q1,Far North QLD,QLD,NQ,NQ,570,1710,0,0,1100,0.288711,1.42,6764.166672,16234,32468
Q2,North Qld Clean Energy Hub,QLD,NQ,NQ,4700,13900,0,0,8000,0.288711,0.43,27529.79169,66071.5,132143
Q3,Northern Qld,QLD,NQ,NQ,0,0,0,0,3400,0.288711,0,2087.708335,5010.5,10021
Q4,Isaac,QLD,NQ,CQ,1000,2800,0,0,6900,0.288711,0,12925.41668,31021,62042
Q5,Barcaldine,QLD,CQ,CQ,1000,2900,0,0,8000,0.288711,0.79,5320.833338,12770,25540
Q6,Fitzroy,QLD,CQ,CQ,900,2600,0,0,7533,0.288711,0,4921.458337,11811.5,23623
Q7,Wide Bay,QLD,SQ,SQ,300,800,0,0,2200,0.288711,0,2907.708336,6978.5,13957
Q8,Darling Downs,QLD,SWQ,SQ,1400,4200,0,0,6992,0.288711,0,9618.958341,23085.5,46171
Q9,Banana,QLD,CQ,SQ,900,2500,0,0,6100,0.288711,0,11423.54168,27416.5,54833
N1,North West NSW,NSW,NNS,NNSW,0,0,0,0,6385,0.288711,2.82,4755.000004,11412,22824
N2,New England,NSW,NNS,NNSW,1800,5600,0,0,2985,0.288711,0.37,4601.66667,11044,22088
N3,Central-West Orana,NSW,NCEN,CNSW,800,2200,0,0,6850,0.288711,0,10656.45834,25575.5,51151
N4,Broken Hill,NSW,CAN,SNSW,1300,3800,0,0,8000,0.288711,2.61,6312.916672,15151,30302
N5,South West NSW,NSW,SWNSW,SNSW,1000,2900,0,0,2256,0.288711,0.57,5615.416671,13477,26954
N6,Wagga Wagga,NSW,SWNSW,SNSW,300,700,0,0,1028,0.288711,0,2106.458335,5055.5,10111
N7,Tumut,NSW,SWNSW,SNSW,0,0,0,0,0,0.288711,0,2819.375002,6766.5,13533
N8,Cooma-Monaro,NSW,CAN,SNSW,100,200,0,0,0,0.288711,1.02,828.333334,1988,3976
N9,Hunter-Central Coast,NSW,NCEN,CNSW,400,1000,0,0,516,0.288711,0.32,1524.375001,3658.5,7317
N10,Hunter Coast,NSW,NCEN,SNW,0,0,0,7420,0,0.288711,0.46,0,0,0
N11,Illawarra Coast,NSW,NCEN,SNW,0,0,148,5696,0,0,0.41,0,0,0
N12,Illawarra,NSW,NCEN,SNW,0,0,0,0,0,0.29,0.41,71.45833339,171.5,343
V1,Ovens Murray,VIC,NVIC,VIC,0,0,0,0,1000,0.288711,0,3083.750002,7401,14802
V2,Murray River,VIC,CVIC,VIC,0,0,0,0,4700,0.288711,1.14,5142.500004,12342,24684
V3,Western Victoria,VIC,CVIC,VIC,700,1900,0,0,400,0.288711,0,4521.875004,10852.5,21705
V4,South West Victoria,VIC,MEL,VIC,860.5,2581.5,0,0,0,0.288711,0,3027.083336,7265,14530
V5,Gippsland,VIC,LV,VIC,500,1500,0,0,500,0.288711,0,1030.625001,2473.5,4947
V6,Central North Vic,VIC,NVIC,VIC,400,1200,0,0,1700,0.288711,2.22,1253.750001,3009,6018
V7,Gippsland Coast,VIC,LV,VIC,0,0,54996,5000,0,0,0.34,0,0,0
V8,Portland Coast,VIC,MEL,VIC,0,0,3948,16596,0,0,0,0,0,0
S1,South East SA,SA,SESA,SESA,800,2400,0,0,100,0.288711,0,5528.958338,13269.5,26539
S2,Riverland,SA,NSA,CSA,400,1000,0,0,4000,0.288711,0.14,844.7916673,2027.5,4055
S3,Mid-North SA,SA,ADE,CSA,1200,3400,0,0,1300,0.288711,0,6243.333338,14984,29968
S4,Yorke Peninsula,SA,NSA,CSA,400,1000,0,0,0,0.288711,1.26,1669.791668,4007.5,8015
S5,Northern SA,SA,NSA,CSA,0,0,0,0,2900,0.288711,0,1858.750001,4461,8922
S6,Leigh Creek,SA,NSA,CSA,600,1800,0,0,6500,0.288711,0.88,3485.208336,8364.5,16729
S7,Roxby Downs,SA,NSA,CSA,0,0,0,0,3400,0.288711,0.57,4905.208337,11772.5,23545
S8,Eastern Eyre Peninsula,SA,NSA,CSA,600,1700,0,0,5000,0.288711,0.33,3475.208336,8340.5,16681
S9,Western Eyre Peninsula,SA,NSA,CSA,400,1100,0,0,4000,0.288711,0.91,2215.000002,5316,10632
S10,South East SA Coast,SA,SESA,SESA,0,0,20428,7032,0,0,0,0,0,0
T1,North East Tasmania,TAS,TAS,TAS,400,1000,0,0,300,0.288711,0.5,3132.083336,7517,15034
T2,North West Tasmania,TAS,TAS,TAS,1300,3700,0,0,150,0.288711,0.38,1323.333334,3176,6352
T3,Central Highlands,TAS,TAS,TAS,900,2500,0,0,150,0.288711,0.63,2318.333335,5564,11128
T4,North West Tasmania Coast,TAS,TAS,TAS,0,0,16624,6912,0,0,0.15,0,0,0
T5,North East Tasmania Coast,TAS,TAS,TAS,0,0,19212,4544,0,0,0,0,0,0
