Generator,Variable OPEX ($/MWh sent out)
Bayswater,5.10 
Eraring,5.10 
Liddell,5.10 
Mt Piper,5.10 
Vales Point B,5.10 
Callide B,5.02 
Callide C,5.02 
Gladstone,5.02 
Kogan Creek,5.02 
Millmerran,5.02 
Stanwell,5.02 
Tarong,5.02 
Tarong North,5.02 
Loy Yang A Power Station,4.78 
Loy Yang B,4.78 
Yallourn W,4.78 
Tallawarra,8.79 
Condamine A,8.79 
Darling Downs,8.79 
Swanbank E GT,8.79 
Townsville Power Station,8.79 
Yarwun Cogen,8.79 
Osborne,8.79 
Pelican Point,8.79 
Tamar Valley Combined Cycle,8.79 
Colongra,12.57 
Smithfield Energy Facility,12.57 
Uranquinty,12.57 
Barcaldine Power Station,12.57 
Braemar,12.57 
Braemar 2 Power Station,12.57 
Mt Stuart,12.57 
Oakey Power Station,12.57 
Roma,12.57 
Dry Creek GT,12.57 
Hallett GT,12.57 
Ladbroke Grove,12.57 
Mintaro GT,12.57 
Port Lincoln GT,12.57 
Quarantine,12.57 
Snapper Point Power Station,12.83 
Snuggery,12.57 
Bell Bay Three,12.57 
Tamar Valley Peaking,12.57 
Bairnsdale,12.57 
Jeeralang A,12.57 
Jeeralang B,12.57 
Laverton North,12.57 
Mortlake,12.57 
Somerton,12.57 
Valley Power,12.57 
Newport,2.78 
Torrens Island B,2.78 
Angaston,13.34 
Barker Inlet Power Station,13.34 
Lonsdale,13.34 
Port Stanvac 1,13.34 
Kurri Kurri OCGT,7.81 
Tallawarra B,7.81 
Bolivar Power Station,12.83 
Kogan Gas,40.63 
SA Hydrogen Turbine,40.63 
All Hydro,8.58 
