Technology type,Cost scenario,Candidate REZ,Sub-region,Cost zone,Locational cost factor,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54
Large scale Solar PV,Progressive Change,Far North QLD,NQ,QLD Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,North Qld Clean Energy Hub,NQ,QLD Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,Northern Qld,NQ,QLD Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,Isaac,CQ,QLD Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,Barcaldine,CQ,QLD Medium,106.5%,1790,1726,1602,1481,1363,1299,1256,1242,1205,1182,1164,1150,1138,1120,1106,1078,1050,997,955,901,864,824,804,791,787,782,778,773,770,767,765,762 
Large scale Solar PV,Progressive Change,Fitzroy,CQ,QLD Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,Wide Bay,SQ,QLD Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,Darling Downs,SQ,QLD Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,Banana,CQ,QLD Medium,106.5%,1790,1726,1602,1481,1363,1299,1256,1242,1205,1182,1164,1150,1138,1120,1106,1078,1050,997,955,901,864,824,804,791,787,782,778,773,770,767,765,762 
Large scale Solar PV,Progressive Change,North West NSW,NNSW,NSW Medium,106.4%,1788,1725,1601,1480,1362,1298,1255,1241,1204,1181,1163,1149,1136,1119,1105,1077,1049,997,954,900,863,824,803,791,786,782,777,772,769,767,764,761 
Large scale Solar PV,Progressive Change,New England,NNSW,NSW Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,Central-West Orana,CNSW,NSW Medium,106.4%,1788,1725,1601,1480,1362,1298,1255,1241,1204,1181,1163,1149,1136,1119,1105,1077,1049,997,954,900,863,824,803,791,786,782,777,772,769,767,764,761 
Large scale Solar PV,Progressive Change,Broken Hill,SNSW,NSW High,109.6%,1842,1776,1648,1524,1402,1337,1292,1278,1239,1216,1197,1183,1170,1153,1138,1109,1080,1026,983,927,889,848,827,814,810,805,800,795,792,790,787,784 
Large scale Solar PV,Progressive Change,South West NSW,SNSW,NSW High,109.6%,1842,1776,1648,1524,1402,1337,1292,1278,1239,1216,1197,1183,1170,1153,1138,1109,1080,1026,983,927,889,848,827,814,810,805,800,795,792,790,787,784 
Large scale Solar PV,Progressive Change,Wagga Wagga,SNSW,NSW Medium,106.4%,1788,1725,1601,1480,1362,1298,1255,1241,1204,1181,1163,1149,1136,1119,1105,1077,1049,997,954,900,863,824,803,791,786,782,777,772,769,767,764,761 
Large scale Solar PV,Progressive Change,Tumut,SNSW,NSW Medium,106.4%,1788,1725,1601,1480,1362,1298,1255,1241,1204,1181,1163,1149,1136,1119,1105,1077,1049,997,954,900,863,824,803,791,786,782,777,772,769,767,764,761 
Large scale Solar PV,Progressive Change,Cooma-Monaro,SNSW,NSW Medium,106.4%,1788,1725,1601,1480,1362,1298,1255,1241,1204,1181,1163,1149,1136,1119,1105,1077,1049,997,954,900,863,824,803,791,786,782,777,772,769,767,764,761 
Large scale Solar PV,Progressive Change,Hunter-Central Coast,CNSW,NSW Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,Hunter Coast,SNW,NSW Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,Illawarra Coast,SNW,NSW Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,Illawarra,SNW,NSW Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,Ovens Murray,VIC,VIC Medium,102.0%,1714,1653,1534,1419,1305,1244,1203,1190,1154,1132,1115,1101,1089,1073,1059,1033,1006,955,915,863,828,790,770,758,754,749,745,741,737,735,733,730 
Large scale Solar PV,Progressive Change,Murray River,VIC,VIC Medium,102.0%,1714,1653,1534,1419,1305,1244,1203,1190,1154,1132,1115,1101,1089,1073,1059,1033,1006,955,915,863,828,790,770,758,754,749,745,741,737,735,733,730 
Large scale Solar PV,Progressive Change,Western Victoria,VIC,VIC Medium,102.0%,1714,1653,1534,1419,1305,1244,1203,1190,1154,1132,1115,1101,1089,1073,1059,1033,1006,955,915,863,828,790,770,758,754,749,745,741,737,735,733,730 
Large scale Solar PV,Progressive Change,South West Victoria,VIC,VIC Medium,102.0%,1714,1653,1534,1419,1305,1244,1203,1190,1154,1132,1115,1101,1089,1073,1059,1033,1006,955,915,863,828,790,770,758,754,749,745,741,737,735,733,730 
Large scale Solar PV,Progressive Change,Gippsland,VIC,VIC Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,Central North Vic,VIC,VIC High,101.9%,1713,1652,1533,1418,1304,1243,1202,1189,1153,1131,1114,1101,1089,1072,1058,1032,1005,955,914,862,827,789,769,757,753,749,744,740,737,734,732,729 
Large scale Solar PV,Progressive Change,Gippsland Coast,VIC,VIC Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,Southern Ocean,VIC,VIC Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,South East SA,SESA,SA Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,Riverland,CSA,SA Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,Mid-North SA,CSA,SA Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,Yorke Peninsula,CSA,SA Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,Northern SA,CSA,SA Medium,105.5%,1774,1711,1588,1468,1351,1288,1245,1231,1194,1171,1153,1140,1127,1110,1096,1069,1040,989,947,893,856,817,797,784,780,775,771,766,763,761,758,755 
Large scale Solar PV,Progressive Change,Leigh Creek,CSA,SA Medium,105.5%,1774,1711,1588,1468,1351,1288,1245,1231,1194,1171,1153,1140,1127,1110,1096,1069,1040,989,947,893,856,817,797,784,780,775,771,766,763,761,758,755 
Large scale Solar PV,Progressive Change,Roxby Downs,CSA,SA Medium,105.5%,1774,1711,1588,1468,1351,1288,1245,1231,1194,1171,1153,1140,1127,1110,1096,1069,1040,989,947,893,856,817,797,784,780,775,771,766,763,761,758,755 
Large scale Solar PV,Progressive Change,Eastern Eyre Peninsula,CSA,SA Medium,105.5%,1774,1711,1588,1468,1351,1288,1245,1231,1194,1171,1153,1140,1127,1110,1096,1069,1040,989,947,893,856,817,797,784,780,775,771,766,763,761,758,755 
Large scale Solar PV,Progressive Change,Western Eyre Peninsula,CSA,SA Medium,105.5%,1774,1711,1588,1468,1351,1288,1245,1231,1194,1171,1153,1140,1127,1110,1096,1069,1040,989,947,893,856,817,797,784,780,775,771,766,763,761,758,755 
Large scale Solar PV,Progressive Change,South East SA Coast,SESA,SA Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,North East Tasmania,TAS,TAS Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,North West Tasmania,TAS,TAS Medium,106.0%,1781,1718,1594,1474,1356,1293,1250,1236,1199,1176,1158,1144,1132,1115,1100,1073,1045,993,951,896,860,820,800,788,783,778,774,769,766,764,761,758 
Large scale Solar PV,Progressive Change,Central Highlands,TAS,TAS Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Progressive Change,North Tasmania Coast,TAS,TAS Low,101.0%,1698,1637,1520,1405,1293,1232,1191,1178,1143,1121,1104,1091,1079,1063,1049,1023,996,946,906,854,820,782,762,751,746,742,738,733,730,728,726,723 
Large scale Solar PV,Step Change,New South Wales Non-REZ,CNSW,NSW Medium,106.4%,1788,1725,1620,1534,1464,1396,1330,1267,1218,1176,1154,1125,1101,1050,984,904,842,803,782,769,754,742,727,711,697,687,678,672,667,661,658,650 
Large scale Solar PV,Step Change,Victoria Non-REZ,VIC,VIC Medium,102.0%,1714,1653,1553,1470,1404,1338,1275,1215,1168,1128,1106,1079,1056,1007,943,867,807,770,749,737,723,711,697,682,669,659,650,645,639,634,630,623 
Solar Thermal (15hrs storage),Progressive Change,Far North QLD,NQ,QLD Low,100.0%,6977,6927,6778,6632,6469,6321,6190,6062,5947,5844,5749,5661,5580,5504,5432,5364,5299,5237,5160,5068,4964,4865,4773,4687,4604,4526,4453,4383,4332,4279,4229,4179 
Solar Thermal (15hrs storage),Progressive Change,North Qld Clean Energy Hub,NQ,QLD Low,100.0%,6977,6927,6778,6632,6469,6321,6190,6062,5947,5844,5749,5661,5580,5504,5432,5364,5299,5237,5160,5068,4964,4865,4773,4687,4604,4526,4453,4383,4332,4279,4229,4179 
Solar Thermal (15hrs storage),Progressive Change,Northern Qld,NQ,QLD Low,100.0%,6977,6927,6778,6632,6469,6321,6190,6062,5947,5844,5749,5661,5580,5504,5432,5364,5299,5237,5160,5068,4964,4865,4773,4687,4604,4526,4453,4383,4332,4279,4229,4179 
Solar Thermal (15hrs storage),Progressive Change,Isaac,CQ,QLD Low,100.0%,6977,6927,6778,6632,6469,6321,6190,6062,5947,5844,5749,5661,5580,5504,5432,5364,5299,5237,5160,5068,4964,4865,4773,4687,4604,4526,4453,4383,4332,4279,4229,4179 
Solar Thermal (15hrs storage),Progressive Change,Barcaldine,CQ,QLD Medium,106.9%,7461,7408,7249,7092,6918,6759,6620,6483,6360,6249,6148,6054,5967,5886,5809,5736,5667,5601,5519,5420,5308,5203,5105,5012,4924,4840,4762,4687,4632,4576,4523,4469 
Solar Thermal (15hrs storage),Progressive Change,Fitzroy,CQ,QLD Low,100.0%,6977,6927,6778,6632,6469,6321,6190,6062,5947,5844,5749,5661,5580,5504,5432,5364,5299,5237,5160,5068,4964,4865,4773,4687,4604,4526,4453,4383,4332,4279,4229,4179 
Solar Thermal (15hrs storage),Progressive Change,Wide Bay,SQ,QLD Low,100.0%,6977,6927,6778,6632,6469,6321,6190,6062,5947,5844,5749,5661,5580,5504,5432,5364,5299,5237,5160,5068,4964,4865,4773,4687,4604,4526,4453,4383,4332,4279,4229,4179 
Solar Thermal (15hrs storage),Progressive Change,Darling Downs,SQ,QLD Low,100.0%,6977,6927,6778,6632,6469,6321,6190,6062,5947,5844,5749,5661,5580,5504,5432,5364,5299,5237,5160,5068,4964,4865,4773,4687,4604,4526,4453,4383,4332,4279,4229,4179 
Solar Thermal (15hrs storage),Progressive Change,Banana,CQ,QLD Medium,106.9%,7461,7408,7249,7092,6918,6759,6620,6483,6360,6249,6148,6054,5967,5886,5809,5736,5667,5601,5519,5420,5308,5203,5105,5012,4924,4840,4762,4687,4632,4576,4523,4469 
Solar Thermal (15hrs storage),Progressive Change,North West NSW,NNSW,NSW Medium,106.0%,7395,7342,7184,7029,6857,6699,6561,6425,6304,6194,6093,6000,5914,5833,5757,5685,5617,5551,5470,5372,5261,5157,5059,4967,4880,4797,4719,4646,4591,4536,4482,4429 
Solar Thermal (15hrs storage),Progressive Change,New England,NNSW,NSW Low,100.0%,6977,6927,6778,6632,6469,6321,6190,6062,5947,5844,5749,5661,5580,5504,5432,5364,5299,5237,5160,5068,4964,4865,4773,4687,4604,4526,4453,4383,4332,4279,4229,4179 
Solar Thermal (15hrs storage),Progressive Change,Central-West Orana,CNSW,NSW Medium,106.0%,7395,7342,7184,7029,6857,6699,6561,6425,6304,6194,6093,6000,5914,5833,5757,5685,5617,5551,5470,5372,5261,5157,5059,4967,4880,4797,4719,4646,4591,4536,4482,4429 
Solar Thermal (15hrs storage),Progressive Change,Broken Hill,SNSW,NSW High,111.6%,7787,7731,7565,7402,7220,7054,6909,6766,6638,6522,6416,6318,6227,6143,6063,5986,5915,5845,5760,5657,5540,5430,5328,5231,5139,5052,4970,4892,4835,4776,4720,4664 
Solar Thermal (15hrs storage),Progressive Change,South West NSW,SNSW,NSW High,111.6%,7787,7731,7565,7402,7220,7054,6909,6766,6638,6522,6416,6318,6227,6143,6063,5986,5915,5845,5760,5657,5540,5430,5328,5231,5139,5052,4970,4892,4835,4776,4720,4664 
Solar Thermal (15hrs storage),Progressive Change,Wagga Wagga,SNSW,NSW Medium,106.0%,7395,7342,7184,7029,6857,6699,6561,6425,6304,6194,6093,6000,5914,5833,5757,5685,5617,5551,5470,5372,5261,5157,5059,4967,4880,4797,4719,4646,4591,4536,4482,4429 
Solar Thermal (15hrs storage),Progressive Change,Tumut,SNSW,NSW Medium,106.0%,7395,7342,7184,7029,6857,6699,6561,6425,6304,6194,6093,6000,5914,5833,5757,5685,5617,5551,5470,5372,5261,5157,5059,4967,4880,4797,4719,4646,4591,4536,4482,4429 
