Technology type,Cost scenario,Candidate REZ,Sub-region,Cost zone,Locational cost factor,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54
Large scale Solar PV,Step Change,Far North QLD,NQ,QLD Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,North Qld Clean Energy Hub,NQ,QLD Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,Northern Qld,NQ,QLD Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,Isaac,CQ,QLD Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,Barcaldine,CQ,QLD Medium,106.5%,1790,1726,1622,1535,1466,1397,1331,1269,1220,1177,1155,1126,1102,1051,985,905,843,804,782,770,755,742,728,712,698,688,679,673,667,662,658,650 
Large scale Solar PV,Step Change,Fitzroy,CQ,QLD Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,Wide Bay,SQ,QLD Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,Darling Downs,SQ,QLD Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,Banana,CQ,QLD Medium,106.5%,1790,1726,1622,1535,1466,1397,1331,1269,1220,1177,1155,1126,1102,1051,985,905,843,804,782,770,755,742,728,712,698,688,679,673,667,662,658,650 
Large scale Solar PV,Step Change,North West NSW,NNSW,NSW Medium,106.4%,1788,1725,1620,1534,1464,1396,1330,1267,1218,1176,1154,1125,1101,1050,984,904,842,803,782,769,754,742,727,711,697,687,678,672,667,661,658,650 
Large scale Solar PV,Step Change,New England,NNSW,NSW Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,Central-West Orana,CNSW,NSW Medium,106.4%,1788,1725,1620,1534,1464,1396,1330,1267,1218,1176,1154,1125,1101,1050,984,904,842,803,782,769,754,742,727,711,697,687,678,672,667,661,658,650 
Large scale Solar PV,Step Change,Broken Hill,SNSW,NSW High,109.6%,1842,1776,1668,1579,1508,1437,1370,1305,1255,1211,1188,1159,1134,1081,1013,931,867,827,805,792,777,764,749,732,718,708,698,692,687,681,677,669 
Large scale Solar PV,Step Change,South West NSW,SNSW,NSW High,109.6%,1842,1776,1668,1579,1508,1437,1370,1305,1255,1211,1188,1159,1134,1081,1013,931,867,827,805,792,777,764,749,732,718,708,698,692,687,681,677,669 
Large scale Solar PV,Step Change,Wagga Wagga,SNSW,NSW Medium,106.4%,1788,1725,1620,1534,1464,1396,1330,1267,1218,1176,1154,1125,1101,1050,984,904,842,803,782,769,754,742,727,711,697,687,678,672,667,661,658,650 
Large scale Solar PV,Step Change,Tumut,SNSW,NSW Medium,106.4%,1788,1725,1620,1534,1464,1396,1330,1267,1218,1176,1154,1125,1101,1050,984,904,842,803,782,769,754,742,727,711,697,687,678,672,667,661,658,650 
Large scale Solar PV,Step Change,Cooma-Monaro,SNSW,NSW Medium,106.4%,1788,1725,1620,1534,1464,1396,1330,1267,1218,1176,1154,1125,1101,1050,984,904,842,803,782,769,754,742,727,711,697,687,678,672,667,661,658,650 
Large scale Solar PV,Step Change,Hunter-Central Coast,CNSW,NSW Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,Hunter Coast,SNW,NSW Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,Illawarra Coast,SNW,NSW Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,Illawarra,SNW,NSW Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,Ovens Murray,VIC,VIC Medium,102.0%,1714,1653,1553,1470,1404,1338,1275,1215,1168,1128,1106,1079,1056,1007,943,867,807,770,749,737,723,711,697,682,669,659,650,645,639,634,630,623 
Large scale Solar PV,Step Change,Murray River,VIC,VIC Medium,102.0%,1714,1653,1553,1470,1404,1338,1275,1215,1168,1128,1106,1079,1056,1007,943,867,807,770,749,737,723,711,697,682,669,659,650,645,639,634,630,623 
Large scale Solar PV,Step Change,Western Victoria,VIC,VIC Medium,102.0%,1714,1653,1553,1470,1404,1338,1275,1215,1168,1128,1106,1079,1056,1007,943,867,807,770,749,737,723,711,697,682,669,659,650,645,639,634,630,623 
Large scale Solar PV,Step Change,South West Victoria,VIC,VIC Medium,102.0%,1714,1653,1553,1470,1404,1338,1275,1215,1168,1128,1106,1079,1056,1007,943,867,807,770,749,737,723,711,697,682,669,659,650,645,639,634,630,623 
Large scale Solar PV,Step Change,Gippsland,VIC,VIC Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,Central North Vic,VIC,VIC High,101.9%,1713,1652,1552,1469,1402,1337,1274,1214,1167,1127,1105,1078,1055,1006,943,866,806,769,749,737,722,710,696,681,668,658,649,644,639,633,630,622 
Large scale Solar PV,Step Change,Gippsland Coast,VIC,VIC Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,Southern Ocean,VIC,VIC Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,South East SA,SESA,SA Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,Riverland,CSA,SA Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,Mid-North SA,CSA,SA Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,Yorke Peninsula,CSA,SA Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,Northern SA,CSA,SA Medium,105.5%,1774,1711,1607,1521,1452,1385,1319,1257,1209,1167,1144,1116,1092,1042,976,897,835,797,775,763,748,736,721,705,692,682,673,667,661,656,652,644 
Large scale Solar PV,Step Change,Leigh Creek,CSA,SA Medium,105.5%,1774,1711,1607,1521,1452,1385,1319,1257,1209,1167,1144,1116,1092,1042,976,897,835,797,775,763,748,736,721,705,692,682,673,667,661,656,652,644 
Large scale Solar PV,Step Change,Roxby Downs,CSA,SA Medium,105.5%,1774,1711,1607,1521,1452,1385,1319,1257,1209,1167,1144,1116,1092,1042,976,897,835,797,775,763,748,736,721,705,692,682,673,667,661,656,652,644 
Large scale Solar PV,Step Change,Eastern Eyre Peninsula,CSA,SA Medium,105.5%,1774,1711,1607,1521,1452,1385,1319,1257,1209,1167,1144,1116,1092,1042,976,897,835,797,775,763,748,736,721,705,692,682,673,667,661,656,652,644 
Large scale Solar PV,Step Change,Western Eyre Peninsula,CSA,SA Medium,105.5%,1774,1711,1607,1521,1452,1385,1319,1257,1209,1167,1144,1116,1092,1042,976,897,835,797,775,763,748,736,721,705,692,682,673,667,661,656,652,644 
Large scale Solar PV,Step Change,South East SA Coast,SESA,SA Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
Large scale Solar PV,Step Change,North East Tasmania,TAS,TAS Low,101.0%,1698,1637,1538,1456,1390,1325,1263,1203,1157,1117,1095,1068,1045,997,934,859,799,762,742,730,716,704,690,675,662,652,644,638,633,627,624,617 
