REZ,Name,NSW,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Avg
Q1,Far North QLD,QLD,43,0.46,0.47,0.49,0.48,0.43,0.46,0.49,0.49,0.46,0.44,0.42,0.42,0.46
Q2,North Qld Clean Energy Hub,QLD,41,0.42,0.43,0.45,0.43,0.39,0.41,0.43,0.45,0.41,0.41,0.38,0.39,0.42
Q3,Northern Qld,QLD,Resource limit of 0 MW,,,,,,,,,,,,,
Q4,Isaac,QLD,32,0.32,0.34,0.37,0.34,0.33,0.34,0.34,0.39,0.33,0.36,0.35,0.34,0.34
Q5,Barcaldine,QLD,33,0.31,0.35,0.34,0.35,0.32,0.32,0.33,0.36,0.31,0.32,0.31,0.30,0.33
Q6,Fitzroy,QLD,37,0.38,0.37,0.37,0.37,0.35,0.36,0.35,0.41,0.34,0.38,0.36,0.35,0.37
Q7,Wide Bay,QLD,30,0.30,0.30,0.28,0.29,0.28,0.28,0.29,0.31,0.27,0.29,0.29,0.29,0.29
Q8,Darling Downs,QLD,38,0.37,0.37,0.35,0.38,0.36,0.35,0.37,0.39,0.36,0.38,0.40,0.38,0.37
Q9,Banana,QLD,30,0.30,0.30,0.29,0.30,0.28,0.29,0.30,0.32,0.28,0.30,0.30,0.28,0.30
N1,North West NSW,NSW,Resource limit of 0 MW,,,,,,,,,,,,,
N2,New England,NSW,39,0.36,0.38,0.36,0.37,0.37,0.37,0.38,0.39,0.38,0.40,0.41,0.39,0.38
N3,Central-West Orana,NSW,37,0.34,0.35,0.34,0.35,0.34,0.34,0.36,0.35,0.37,0.36,0.37,0.36,0.35
N4,Broken Hill,NSW,30,0.32,0.32,0.33,0.32,0.31,0.31,0.33,0.31,0.32,0.32,0.32,0.31,0.32
N5,South West NSW,NSW,27,0.29,0.29,0.31,0.28,0.28,0.29,0.31,0.31,0.31,0.30,0.30,0.29,0.29
N6,Wagga Wagga,NSW,27,0.27,0.26,0.28,0.27,0.26,0.26,0.28,0.28,0.28,0.27,0.27,0.27,0.27
N7,Tumut,NSW,Resource limit of 0 MW,,,,,,,,,,,,,
N8,Cooma-Monaro,NSW,40,0.39,0.42,0.43,0.40,0.41,0.41,0.44,0.42,0.41,0.42,0.42,0.43,0.41
N9,Hunter-Central Coast,NSW,37,0.32,0.34,0.33,0.33,0.33,0.33,0.36,0.32,0.34,0.35,0.35,0.33,0.34
N12,Illawarra,NSW,Resource limit of 0 MW,,,,,,,,,,,,,
V1,Ovens Murray,VIC,Resource limit of 0 MW,,,,,,,,,,,,,
V2,Murray River,VIC,Resource limit of 0 MW,,,,,,,,,,,,,
V3,Western Victoria,VIC,38,0.41,0.39,0.43,0.39,0.39,0.39,0.41,0.40,0.43,0.42,0.43,0.40,0.41
V4,South West Victoria,VIC,36,0.39,0.38,0.42,0.37,0.36,0.38,0.39,0.39,0.41,0.38,0.41,0.38,0.39
V5,Gippsland,VIC,37,0.38,0.37,0.40,0.37,0.36,0.38,0.38,0.38,0.41,0.40,0.40,0.37,0.38
V6,Central North Vic,VIC,30,0.32,0.31,0.33,0.33,0.33,0.30,0.34,0.33,0.34,0.33,0.33,0.31,0.32
S1,South East SA,SA,35,0.38,0.36,0.40,0.36,0.36,0.35,0.38,0.39,0.39,0.37,0.40,0.37,0.37
S2,Riverland,SA,26,0.28,0.28,0.31,0.27,0.28,0.27,0.31,0.30,0.30,0.29,0.30,0.28,0.29
S3,Mid-North SA,SA,35,0.37,0.36,0.40,0.35,0.36,0.35,0.40,0.39,0.38,0.37,0.39,0.38,0.37
S4,Yorke Peninsula,SA,33,0.34,0.33,0.39,0.34,0.35,0.33,0.38,0.38,0.36,0.35,0.38,0.36,0.36
S5,Northern SA,SA,Resource limit of 0 MW,,,,,,,,,,,,,
S6,Leigh Creek,SA,41,0.41,0.41,0.42,0.40,0.39,0.38,0.40,0.39,0.39,0.40,0.39,0.39,0.40
S7,Roxby Downs,SA,Resource limit of 0 MW,,,,,,,,,,,,,
S8,Eastern Eyre Peninsula,SA,36,0.37,0.36,0.42,0.36,0.36,0.35,0.40,0.39,0.37,0.38,0.40,0.38,0.38
S9,Western Eyre Peninsula,SA,36,0.37,0.37,0.42,0.37,0.37,0.36,0.40,0.40,0.38,0.40,0.39,0.38,0.38
T1,North East Tasmania,TAS,43,0.42,0.41,0.45,0.43,0.43,0.46,0.43,0.46,0.47,0.43,0.45,0.41,0.44
T2,North West Tasmania,TAS,49,0.48,0.46,0.48,0.48,0.45,0.48,0.49,0.47,0.50,0.48,0.47,0.46,0.48
T3,Central Highlands,TAS,53,0.54,0.51,0.53,0.52,0.51,0.53,0.53,0.54,0.56,0.52,0.51,0.49,0.52
N0,New South Wales Non-REZ,NSW,37,0.33,0.34,0.33,0.33,0.34,0.33,0.35,0.33,0.37,0.35,0.37,0.37,0.35
V0,Victoria Non-REZ,VIC,35,0.38,0.36,0.42,0.36,0.36,0.38,0.39,0.38,0.41,0.39,0.41,0.38,0.38
