REZ names,Region,REZ network voltage (kV),Connection capacity (MVA),Feeder length (km),2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54
Far North Queensland,QLD,275,300,5,35,36,37,37,38,38,38,39,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41
North Queensland Clean Energy Hub,QLD,275,300,10,48,49,50,51,52,52,52,53,53,53,53,54,54,54,54,54,54,54,55,55,55,55,55,55,55,56,56,56,56,56,56,56,57
Northern Queensland,QLD,275,300,5,35,36,37,37,38,38,38,39,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41
Isaac,QLD,275,300,5,34,34,35,35,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,38
Barcaldine,QLD,275,300,10,45,45,46,47,48,48,48,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,51
Fitzroy,QLD,275,300,5,34,34,35,35,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,38
Wide Bay,QLD,275,300,5,34,34,35,35,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,38
Darling Downs,QLD,275,300,5,35,36,36,37,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40
Banana,QLD,275,1800,100,414,416,423,430,435,438,441,444,446,448,448,449,450,450,451,452,452,453,454,454,455,456,456,457,458,458,459,460,461,461,462,463,463
North West New South Wales,NSW,330,400,10,54,54,55,57,57,58,58,57,57,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60
New England,NSW,330,400,10,54,54,55,57,57,58,58,57,57,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60
Central-West Orana,NSW,330,400,10,54,54,55,57,57,58,58,57,57,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60
Broken Hill,NSW,220,250,10,44,44,45,46,46,46,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
South West New South Wales,NSW,330,400,10,54,55,56,57,58,58,57,58,58,58,58,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,61,61,61,61,61,61
Wagga Wagga,NSW,330,400,10,54,55,56,57,58,58,57,58,58,58,58,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,61,61,61,61,61,61
Tumut,NSW,330,400,5,40,40,41,42,42,42,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45
Cooma-Monaro,NSW,330,400,5,40,40,41,42,42,42,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45
Hunter-Central Coast,NSW,330,400,10,40,40,41,42,42,42,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45
Hunter Coast,NSW,Note 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illawarra Coast,NSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illawarra,NSW,330,400,5,40,40,41,42,42,42,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45
Ovensurray,VIC,220,250,5,34,34,35,36,36,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39
Murray River,VIC,220,250,5,33,33,34,34,35,35,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
Western Victoria,VIC,220,250,5,35,36,37,37,38,38,38,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41
South West Victoria,VIC,500,600,10,84,85,86,88,89,90,90,91,91,92,92,92,92,92,92,93,93,93,93,93,94,94,94,94,94,94,95,95,95,95,95,96,96
Gippsland,VIC,220,250,10,49,49,50,51,52,53,53,53,54,54,54,54,55,55,55,55,55,55,56,56,56,56,56,56,57,57,57,57,57,58,58,58,58
Central North Victoria,VIC,220,250,10,46,47,48,49,50,50,50,51,51,51,51,51,52,52,52,52,52,52,52,52,53,53,53,53,53,53,53,53,53,54,54,54,54
Gippsland Coast,VIC,220,2000,16,684,687,699,712,721,723,724,726,727,729,730,731,733,734,736,737,739,740,742,744,745,747,749,750,752,753,755,757,758,760,761,763,765
Southern Ocean,VIC,Note 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South East South Australia,SA,275,300,10,45,46,46,47,48,48,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51
Riverland,SA,275,300,10,50,50,51,53,53,54,54,55,55,55,55,56,56,56,56,56,56,57,57,57,57,57,57,58,58,58,58,58,59,59,59,59,59
Mid-North South Australia,SA,275,300,5,36,37,37,38,39,39,39,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,42,42,42,42,42
Yorke Peninsula,SA,275,300,5,36,37,37,38,39,39,39,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,42,42,42,42,42
Northern South Australia,SA,275,300,5,34,35,35,36,36,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39
Leigh Creek,SA,275,300,10,46,46,47,48,49,49,50,50,50,50,51,51,51,51,51,51,51,51,51,51,51,52,52,52,52,52,52,52,52,52,52,52,53
Roxby Downs,SA,275,300,10,44,44,45,46,46,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,49,49
Eastern Eyre Peninsula,SA,275,300,10,44,44,45,46,46,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,49,49
