Generator Station,Generating Unit,Technology Type,Max Ramp Up (MW/min),Max Ramp Down (MW/min)
Bayswater,BW01,Black Coal,4.00,4.00
Bayswater,BW02,Black Coal,4.00,4.00
Bayswater,BW03,Black Coal,4.00,4.00
Bayswater,BW04,Black Coal,4.00,4.00
Callide B,CALL_B_1,Black Coal,4.00,4.00
Callide B,CALL_B_2,Black Coal,4.00,4.00
Callide C,CPP_3,Black Coal,4.00,4.00
Callide C,CPP_4,Black Coal,4.00,4.00
Eraring,ER01,Black Coal,5.00,5.00
Eraring,ER02,Black Coal,5.00,5.00
Eraring,ER03,Black Coal,5.00,5.00
Eraring,ER04,Black Coal,5.00,5.00
Gladstone,GSTONE1,Black Coal,5.00,5.00
Gladstone,GSTONE2,Black Coal,5.00,5.00
Gladstone,GSTONE3,Black Coal,5.00,5.00
Gladstone,GSTONE4,Black Coal,5.00,5.00
Gladstone,GSTONE5,Black Coal,5.00,5.00
Gladstone,GSTONE6,Black Coal,5.00,5.00
Kogan Creek,KPP_1,Black Coal,8.00,8.00
Millmerran,MPP_1,Black Coal,5.00,5.00
Millmerran,MPP_2,Black Coal,5.00,5.00
Mt Piper,MP1,Black Coal,3.00,3.00
Mt Piper,MP2,Black Coal,3.00,3.00
Stanwell,STAN-1,Black Coal,4.00,4.00
Stanwell,STAN-2,Black Coal,4.00,4.00
Stanwell,STAN-3,Black Coal,4.00,4.00
Stanwell,STAN-4,Black Coal,4.00,4.00
Tarong,TARONG#1,Black Coal,4.00,4.00
Tarong,TARONG#2,Black Coal,4.00,4.00
Tarong,TARONG#3,Black Coal,4.00,4.00
Tarong,TARONG#4,Black Coal,4.00,4.00
Tarong North,TNPS1,Black Coal,4.00,4.00
Vales Point B,VP5,Black Coal,6.00,6.00
Vales Point B,VP6,Black Coal,6.00,6.00
Loy Yang A Power Station,LYA1,Brown Coal,5.00,5.00
Loy Yang A Power Station,LYA2,Brown Coal,5.00,5.00
Loy Yang A Power Station,LYA3,Brown Coal,5.00,5.00
Loy Yang A Power Station,LYA4,Brown Coal,5.00,5.00
Loy Yang B,LOYYB1,Brown Coal,10.00,10.00
Loy Yang B,LOYYB2,Brown Coal,10.00,10.00
Yallourn W,YWPS1,Brown Coal,3.00,3.00
Yallourn W,YWPS2,Brown Coal,3.00,3.00
Yallourn W,YWPS3,Brown Coal,3.00,3.00
Yallourn W,YWPS4,Brown Coal,3.00,3.00
Swanbank E GT,SWAN_E,CCGT,17.00,17.00
Tallawarra,TALWA1,CCGT,8.00,8.00
Yarwun Cogen,YARWUN_1,CCGT,10.00,10.00
Condamine,CPSA_GT1,CCGT - Gas Turbine,1.00,1.00
Condamine,CPSA_GT2,CCGT - Gas Turbine,1.00,1.00
Darling Downs,DDPS1_GT1,CCGT - Gas Turbine,2.00,2.00
Darling Downs,DDPS1_GT2,CCGT - Gas Turbine,2.00,2.00
Darling Downs,DDPS1_GT3,CCGT - Gas Turbine,2.00,2.00
Osborne,OsborneGT,CCGT - Gas Turbine,2.67,2.67
Pelican Point,PPCCGTGT1,CCGT - Gas Turbine,3.00,3.00
Pelican Point,PPCCGTGT2,CCGT - Gas Turbine,3.00,3.00
Tamar Valley,TVCC201_GT,CCGT - Gas Turbine,6.00,6.00
Townsville Power Station,YABULU,CCGT - Gas Turbine,5.70,5.70
Newport,NPS,Gas-powered steam turbine,5.60,5.60
Torrens Island B,TORRB1,Gas-powered steam turbine,5.00,5.00
Torrens Island B,TORRB2,Gas-powered steam turbine,5.00,5.00
Torrens Island B,TORRB3,Gas-powered steam turbine,5.00,5.00
Torrens Island B,TORRB4,Gas-powered steam turbine,5.00,5.00
Kogan Gas,Kogan Gas,Hydrogen-based gas turbines,22.00,22.00
SA Hydrogen Turbine,SA Hydrogen Turbine,Hydrogen-based gas turbines,22.00,22.00
OCGT (small GT),,,22.00,22.00
OCGT (large GT),,,22.00,22.00
CCGT,,,22.00,22.00
CCGT with CCS,,,22.00,22.00
Biomass,,,1.00,1.00
Hydrogen reciprocating engines,,,12.48,12.48
