Generator,Region,Fuel type,REZ/Sub-region,Fuel cost mapping,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54
Coppabella Wind Farm,NSW,Wind,Tumut,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derby Solar Project BESS,VIC,Battery,Murray River,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulham Solar Farm,VIC,Solar,Gippsland,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulham Solar Farm BESS,VIC,Battery,Gippsland,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goulburn River BESS,NSW,Battery,CNSW,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horsham Solar Farm BESS,VIC,Battery,Western Victoria,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiamal Solar Farm – Stage 2,VIC,Solar,Murray River,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiamal Solar Farm – Stage 2 BESS,VIC,Battery,Murray River,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kogan Gas,QLD,Hyblend,SQ,QLD new OCGT, see footnote,,,,11.13,10.38,13.01,17.88,22.24,26.12,29.57,30.54,29.44,28.37,27.35,26.37,25.43,24.53,23.67,22.85,22.08,21.34,20.65,20.00,19.38,18.82,18.29,17.80,17.35,16.95,16.59,16.27
Limondale BESS,NSW,Battery,South West NSW,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New England Solar Farm - stage 2,NSW,Solar,New England,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver City Energy Storage,NSW,Battery,Broken Hill,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithfield BESS,NSW,Battery,SNW,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
