Generator,Region,Fuel type,REZ/Sub-region,Fuel cost mapping,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54
SA Hydrogen Turbine,SA,Hyblend,CSA,SA new OCGT,,,,16.80,18.48,24.35,28.84,31.64,31.72,32.88,31.69,30.54,29.44,28.37,27.35,26.37,25.43,24.53,23.67,22.85,22.08,21.34,20.65,20.00,19.38,18.82,18.29,17.80,17.35,16.95,16.59,16.27 
Borumba,QLD,Water,Banana,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aramara Solar Farm,QLD,Solar,Wide Bay,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia Solar Farm,QLD,Solar,Wide Bay,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Culcairn Solar Farm,NSW,Solar,Wagga Wagga,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cultana Solar Farm,SA,Solar,Northern SA,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derby Solar Farm,VIC,Solar,Murray River,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frasers Solar Farm,VIC,Solar,Gippsland,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horsham Solar Farm,VIC,Solar,Western Victoria,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lockhart Hybrid Facility - Solar,NSW,Solar,Wagga Wagga,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quorn Park Solar Farm,NSW,Solar,CNSW,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamworth Solar Farm,NSW,Solar,New England,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilbuster Solar Farm,NSW,Solar,New England,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MacIntyre Wind Farm,QLD,Wind,Darling Downs,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uungula Wind Farm,NSW,Wind,Central-West Orana,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woolsthorpe Wind Farm,VIC,Wind,South West Victoria,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
