Generator,Region,Fuel type,REZ/Sub-region,Fuel cost mapping,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54
Adelaide Desalination Plant BESS,SA,Battery,CSA,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldoga BESS Stage 1,QLD,Battery,GG,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballarat Energy Storage System,VIC,Battery,Western Victoria,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blyth BESS,SA,Battery,Mid-North SA,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivar Waste Water Treatment BESS,SA,Battery,CSA,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouldercombe Battery project,QLD,Battery,Fitzroy,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Hill BESS,NSW,Battery,Broken Hill,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgana Green Power Hub BESS,VIC,Battery,Western Victoria,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bungama Solar BESS,SA,Battery,Mid-North SA,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital Battery,NSW,Battery,Tumut,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinchilla BESS,QLD,Battery,Darling Downs,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christies Beach Wastewater Treatment Plant BESS,SA,Battery,CSA,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalrymple BESS,SA,Battery,Yorke Peninsula,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darlington Point Energy Storage System,NSW,Battery,SNSW,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eraring Big Battery,NSW,Battery,Hunter Central Coast,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gannawarra Energy Storage System,VIC,Battery,Murray River,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnarwarre BESS,VIC,Battery,South West Victoria,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Valley Reservoir BESS,SA,Battery,CSA,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hazelwood BESS,VIC,Battery,Gippsland,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hornsdale Power Reserve Unit 1,SA,Battery,Mid-North SA,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koorangie Energy Storage System,VIC,Battery,Murray River,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Bonney BESS,SA,Battery,South East SA,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liddell BESS,NSW,Battery,Hunter-Central Coast,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln Gap Wind Farm BESS,SA,Battery,Northern SA,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lockhart Hybrid Facility - Battery,NSW,Battery,Wagga Wagga,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melbourne Renewable Energy Hub - Side A,VIC,Battery,VIC,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mornington BESS,VIC,Battery,VIC,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortlake Battery,VIC,Battery,South West Victoria,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mt Fox BESS,QLD,Battery,Northern Qld,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New England Solar Farm BESS,NSW,Battery,New England,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orana BESS,NSW,Battery,Central-West Orana,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philip Island BESS,VIC,Battery,VIC,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queanbeyan BESS,NSW,Battery,Tumut,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quorn Park BESS,NSW,Battery,CNSW,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangebank BESS,VIC,Battery,VIC,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond Valley BESS,NSW,Battery,NNSW,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverina Energy Storage System 1,NSW,Battery,SNSW,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverina Energy Storage System 2,NSW,Battery,SNSW,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapphire Wind Farm BESS,NSW,Battery,New England,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanwell BESS,QLD,Battery,Fitzroy,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swanbank BESS,QLD,Battery,SQ,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tailem Bend Battery Project,SA,Battery,CSA,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamworth BESS,NSW,Battery,NNSW,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarong BESS,QLD,Battery,Darling Downs,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
