Generator,Region,Fuel type,REZ/Sub-region,Fuel cost mapping,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54
Kurri Kurri OCGT,NSW,Gas,SNW,Kurri Kurri,19.11,18.38,17.74,15.50,14.36,15.51,15.83,16.14,16.71,17.26,17.71,17.79,17.57,17.28,17.40,17.63,17.60,17.37,17.32,17.38,17.39,17.42,17.40,17.36,17.47,17.53,17.95,18.28,18.45,18.75,19.34,19.40 
Tallawarra B*,NSW,Gas,SNW,Tallawarra B,17.08,16.53,15.98,14.11,13.48,14.68,15.03,15.36,15.95,16.54,17.02,17.12,16.91,16.64,16.78,17.03,17.02,16.80,16.77,16.84,16.86,16.90,16.88,16.85,16.97,17.04,17.50,17.86,18.04,18.37,18.99,19.06 
Kidston,QLD,Water,NQ,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snowy 2.0,NSW,Water,Tumut,Hydro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Girgarre Solar Farm,VIC,Solar,Central North Vic,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenrowan Solar Farm,VIC,Solar,Central North Vic,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mannum Solar Farm 2*,SA,Solar,Riverland,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metz Solar Farm,NSW,Solar,New England,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverina Solar Farm,NSW,Solar,SNSW,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastopol Solar Farm,NSW,Solar,Wagga Wagga,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stubbo Solar Farm,NSW,Solar,Central-West Orana,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walla Walla Solar Farm,NSW,Solar,SNSW,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wandoan South Solar Farm - stage 1,QLD,Solar,Darling Downs,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellington North Solar Farm (Lightsource),NSW,Solar,Central-West Orana,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wollar Solar Farm,NSW,Solar,CNSW,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woolooga Solar Farm,QLD,Solar,Wide Bay,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wunghnu Solar Farm,VIC,Solar,VIC,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarke Creek Wind Farm,QLD,Wind,Isaac,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crookwell 3 Wind Farm,NSW,Wind,SNSW,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flyers Creek Wind Farm,NSW,Wind,Central-West Orana,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Plains Wind Farm East,VIC,Wind,South West Victoria,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goyder South Wind Farm 1A,SA,Wind,Mid-North SA,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goyder South Wind Farm 1B,SA,Wind,Mid-North SA,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawkesdale Wind Farm,VIC,Wind,South West Victoria,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Corner Wind Farm,VIC,Wind,South West Victoria,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rye Park Wind Farm,NSW,Wind,SNSW,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wambo Wind Farm,QLD,Wind,Darling Downs,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
