Generator,Region,Fuel type,REZ/Sub-region,Fuel cost mapping,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54
Bayswater,NSW,Black Coal,CNSW,Bayswater,1.98,2.01,1.96,1.91,3.05,3.01,2.99,2.98,2.96,2.94,2.92,2.90,2.87,2.82,2.73,2.65,2.57,2.55,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54 
Eraring,NSW,Black Coal,SNW,Eraring,9.53,4.47,4.10,3.48,3.33,3.29,3.26,3.24,3.22,3.20,3.18,3.15,3.12,3.06,2.97,2.87,2.78,2.69,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64 
Mt Piper,NSW,Black Coal,CNSW,Mt Piper,3.73,3.63,4.10,3.48,3.33,3.29,3.26,3.24,3.22,3.20,3.18,3.15,3.12,3.06,2.97,2.87,2.78,2.69,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64 
Vales Point B,NSW,Black Coal,SNW,Vales Point B,8.83,4.20,3.91,3.36,3.25,3.23,3.22,3.21,3.20,3.19,3.18,3.17,3.15,3.11,3.05,2.99,2.93,2.87,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.84 
Callide B,QLD,Black Coal,CQ,Callide B,2.31,2.32,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33 
Callide C,QLD,Black Coal,CQ,Callide C,2.31,2.32,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33 
Gladstone,QLD,Black Coal,GG,Gladstone,7.69,3.85,3.57,3.10,3.10,3.13,3.17,3.20,3.21,3.19,3.17,3.15,3.13,3.08,3.02,2.95,2.88,2.82,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78,2.78 
Kogan Creek,QLD,Black Coal,SQ,Kogan Creek,1.57,1.57,1.58,1.59,1.60,1.61,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62 
Millmerran,QLD,Black Coal,SQ,Millmerran,1.43,1.43,1.44,1.45,1.46,1.48,1.48,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47 
Stanwell,QLD,Black Coal,CQ,Stanwell,6.42,3.51,3.29,2.94,2.75,2.66,2.61,2.58,2.55,2.54,2.53,2.52,2.50,2.49,2.48,2.47,2.46,2.45,2.44,2.43,2.42,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41,2.41 
Tarong,QLD,Black Coal,SQ,Tarong,3.01,3.03,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04 
Tarong North,QLD,Black Coal,SQ,Tarong North,3.01,3.03,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04,3.04 
Loy Yang A Power Station,VIC,Brown Coal,VIC,Loy Yang A,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76 
Loy Yang B,VIC,Brown Coal,VIC,Loy Yang B,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76 
Yallourn W,VIC,Brown Coal,VIC,Yallourn W,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75 
Tallawarra,NSW,Gas,SNW,Tallawarra,14.54,14.27,13.86,12.23,12.06,13.34,13.73,14.08,14.71,15.35,15.88,16.01,15.83,15.57,15.74,16.04,16.05,15.85,15.84,15.93,15.96,16.01,16.00,15.97,16.11,16.19,16.71,17.13,17.31,17.67,18.37,18.43 
Condamine A,QLD,Gas,SQ,Condamine A,12.87,12.68,12.38,11.09,11.07,12.34,12.88,13.31,14.07,14.94,15.71,15.90,15.66,15.33,15.48,15.82,15.83,15.61,15.64,15.73,15.70,15.71,15.68,15.59,15.66,15.69,16.21,16.65,16.82,17.16,17.86,17.88 
Darling Downs,QLD,Gas,SQ,Darling Downs,12.87,12.68,12.38,11.09,11.07,12.34,12.88,13.31,14.07,14.94,15.71,15.90,15.66,15.33,15.48,15.82,15.83,15.61,15.64,15.73,15.70,15.71,15.68,15.59,15.66,15.69,16.21,16.65,16.82,17.16,17.86,17.88 
Swanbank E GT,QLD,Gas,SQ,Swanbank E GT,13.49,13.02,12.44,11.10,11.15,12.44,12.85,13.23,13.99,14.86,15.63,15.83,15.58,15.26,15.41,15.76,15.77,15.55,15.58,15.67,15.64,15.65,15.62,15.53,15.60,15.63,16.16,16.60,16.77,17.10,17.81,17.84 
Townsville Power Station,QLD,Gas,NQ,Townsville Power Station,12.87,12.68,12.38,11.08,11.04,12.32,12.86,13.29,14.04,14.89,15.64,15.83,15.59,15.27,15.44,15.78,15.79,15.59,15.63,15.73,15.70,15.71,15.68,15.59,15.66,15.69,16.21,16.65,16.82,17.16,17.86,17.88 
Yarwun Cogen,QLD,Gas,GG,Yarwun Cogen,12.98,12.79,12.49,11.20,11.17,12.44,12.98,13.40,14.16,15.02,15.79,15.98,15.73,15.41,15.55,15.89,15.90,15.68,15.71,15.80,15.76,15.77,15.74,15.66,15.72,15.75,16.27,16.72,16.91,17.26,17.97,18.01 
Osborne,SA,Gas,CSA,Osborne,14.44,14.07,13.42,11.80,11.82,13.13,13.54,13.87,14.48,15.08,15.58,15.71,15.52,15.27,15.44,15.75,15.77,15.58,15.59,15.69,15.73,15.80,15.81,15.79,15.92,16.00,16.54,16.97,17.15,17.52,18.23,18.30 
Pelican Point,SA,Gas,CSA,Pelican Point,14.44,14.07,13.42,11.80,11.82,13.13,13.54,13.87,14.48,15.08,15.58,15.71,15.52,15.27,15.44,15.75,15.77,15.58,15.59,15.69,15.73,15.80,15.81,15.79,15.92,16.00,16.54,16.97,17.15,17.52,18.23,18.30 
Tamar Valley Combined Cycle,TAS,Gas,TAS,Tamar Valley Combined Cycle,14.63,14.32,13.91,12.28,11.94,13.10,13.49,13.85,14.47,15.11,15.64,15.77,15.58,15.32,15.50,15.80,15.82,15.63,15.64,15.74,15.78,15.88,15.91,15.89,15.99,16.03,16.55,16.98,17.15,17.50,18.20,18.26 
Colongra,NSW,Gas,SNW,Colongra,19.11,18.38,17.74,15.50,14.36,15.51,15.83,16.14,16.71,17.26,17.71,17.79,17.57,17.28,17.40,17.63,17.60,17.37,17.32,17.38,17.39,17.42,17.40,17.36,17.47,17.53,17.95,18.28,18.45,18.75,19.34,19.40 
Smithfield Energy Facility,NSW,Gas,SNW,Smithfield Energy Facility,18.67,17.94,17.31,15.07,13.96,15.13,15.47,15.78,16.37,16.94,17.40,17.48,17.27,17.00,17.12,17.36,17.34,17.11,17.07,17.14,17.16,17.19,17.17,17.14,17.25,17.32,17.76,18.10,18.28,18.60,19.20,19.26 
Uranquinty,NSW,Gas,SNSW,Uranquinty,17.00,16.45,15.93,14.01,13.31,14.50,14.85,15.18,15.78,16.37,16.84,16.94,16.73,16.45,16.59,16.85,16.84,16.63,16.61,16.70,16.73,16.79,16.80,16.77,16.88,16.94,17.40,17.78,17.96,18.28,18.92,18.98 
Barcaldine Power Station,QLD,Gas,CQ,Barcaldine Power Station,16.30,15.45,14.17,12.81,13.13,14.44,14.92,15.31,16.01,16.77,17.44,17.59,17.32,16.97,17.08,17.36,17.35,17.05,16.99,17.07,17.02,17.01,16.97,16.88,16.93,16.93,17.37,17.70,17.83,18.12,18.73,18.75 
Braemar,QLD,Gas,SQ,Braemar,16.15,15.30,14.02,12.74,12.92,14.05,14.53,14.94,15.65,16.45,17.15,17.30,17.03,16.68,16.79,17.07,17.06,16.83,16.84,16.91,16.86,16.85,16.81,16.72,16.77,16.78,17.23,17.61,17.78,18.07,18.68,18.70 
Braemar 2 Power Station,QLD,Gas,SQ,Braemar 2 Power Station,16.15,15.30,14.02,12.74,12.92,14.05,14.53,14.94,15.65,16.45,17.15,17.30,17.03,16.68,16.79,17.07,17.06,16.83,16.84,16.91,16.86,16.85,16.81,16.72,16.77,16.78,17.23,17.61,17.78,18.07,18.68,18.70 
Mt Stuart,QLD,Liquid Fuel,NQ,Liquid Fuel,42.65,42.02,41.45,40.91,40.44,40.03,39.61,39.20,38.82,38.48,38.17,37.88,37.60,37.34,37.08,36.83,36.59,36.35,35.89,35.43,34.98,34.55,34.11,34.11,34.11,34.11,34.11,34.11,34.11,34.11,34.11,34.11 
