GenName,Region,Asset Type,Site Name,Owner,Technology Type,Fuel Type,DUID,Number of Units,Lower Nameplate Capacity (MW),Upper Nameplate Capacity (MW),Aggregated Lower Nameplate Capacity (MW),Aggregated Upper Nameplate Capacity (MW),Nameplate Capacity (MW),Storage Capacity (MWh),Unit Status,Dispatch Type,Full Commercial Use Date,Expected Closure Year,Closure Date,Status Bucket Summary,Fuel Bucket Summary,SurveyId,AEMO KCI Id,Survey Last Requested,Survey Version DateTime
Coppabella Wind Farm,NSW1,Project,Coppabella Wind Farm,Coppabella Wind Farm Pty Ltd,Wind Turbine - Onshore,Wind - Wind,COPBEL,69,4.2,4.2,289.8,289.8,289.8,,Anticipated,SS,1/9/27 0:00,2057,,Anticipated,Wind,1581,N00029,6/5/25 0:00,19/3/25 16:06
Derby Solar Project BESS, VIC1 ,Project,Derby Solar Farm & BESS,DERBY SOLAR PROJECT PTY LTD , Solar PV - Single axis tracking ,Solar - Solar,,30, 3.17 , 3.17 , 95.10 , 95.10 , 95.10 ,, Anticipated ,SS,Sep 2027,2057,,Anticipated, Solar ,2513,,May 2025,10-12-2024
Fulham Solar Farm,VIC1,Project,Fulham Solar Farm And BESS,Fulham Solar Farm Pty Ltd (ATF Fulham Solar Farm Trust),Solar PV - Single axis tracking,Solar - Solar,,24,,2.67,,80,80,,Committed,S,1/1/28 0:00,2063,,Committed,Solar,1977,,6/5/25 0:00,14/3/25 14:49
Fulham Solar Farm BESS,VIC1,Project,Fulham Solar Farm And BESS,Fulham Solar Farm Pty Ltd (ATF Fulham Solar Farm Trust),Storage - Battery,Solar - Solar,,24,,2.67,,64.08,64.08,128,Committed,S,1/1/28 0:00,2063,,Committed,Battery Storage,1977,,6/5/25 0:00,14/3/25 14:49
Goulburn River BESS, NSW1 ,Project,Goulburn River Solar Farm And BESS,Goulburn River Fund Pty Ltd, Storage - Battery ,Other - Other,,56,, 0.89 ,, 49.84 , 49.84 ,400.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2190,N00051,May 2025,01-04-2025
Horsham Solar Farm BESS,VIC1,Project,Horsham Solar Farm,ESCO SOLAR FARM 7 PTY LTD,Solar PV - Single axis tracking,Solar - Solar,,36,,3.3,,118.8,118.8,,Committed,SS,1/12/26 0:00,2066,,Committed,Solar,1954,V00027,6/5/25 0:00,20/3/25 14:36
Kiamal Solar Farm – Stage 2,VIC1,Existing Plant,Kiamal Solar Farm - Stage 1,KSF Project Nominees Pty Ltd ATF KSF Project Trust,Solar PV - Single axis tracking,Solar - Solar,KIAMSF1,150,1.33,1.33,199.95,199.95,199.95,0,In Service,SS,1/1/22 0:00,2049,,Existing less Announced Withdrawal,Solar,1602,,6/5/25 0:00,12/3/24 9:03
Kiamal Solar Farm – Stage 2 BESS, VIC1 ,Project,Kiamal BESS,TotalEnergies Renewables Australia, Storage - Battery ,Other - Other,KIAMBE,64,, 3.73 ,, 238.59 , 238.59 ,880.00, Publicly Announced ,S,Jul 2028,2057,,Proposed, Battery Storage ,2890,V00174,Feb 2025,13-03-2025
Kogan Gas, QLD1 ,Project,Brigalow GT (Kogan Creek GT),CSE H2 Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas,,1, -   , 400.00 , -   , 400.00 , 400.00 ,, Publicly Announced ,S,Dec 2028,,,Proposed, OCGT ,2568,Q00083,May 2025,14-03-2025
Limondale BESS,NSW1,Project,Limondale BESS,LIMONDALE BATTERY PTY. LTD,Storage - Battery,Other - Other,,1,50,50,50,50,50,400,Committed,S,1/12/25 0:00,2046,,Committed,Battery Storage,2223,N00094,6/5/25 0:00,14/3/25 15:09
