Generator,Heat rate (GJ/MWh)
Bayswater,9.45
Eraring,9.55
Mt Piper,9.25
Vales Point B,9.68
Callide B,9.16
Callide C,9.30
Gladstone,9.47
Kogan Creek,8.80
Millmerran,9.21
Stanwell,9.07
Tarong,9.21
Tarong North,8.65
Loy Yang A Power Station,12.16
Loy Yang B,12.54
Yallourn W,13.90
Tallawarra,6.99
Condamine A,7.29
Darling Downs,7.38
Swanbank E GT,7.44
Townsville Power Station,7.59
Yarwun Cogen,10.37
Osborne,8.16
Pelican Point,7.35
Tamar Valley Combined Cycle,7.29
Colongra,11.15
Smithfield Energy Facility,13.69
Uranquinty,11.15
Barcaldine Power Station,12.72
Braemar,11.88
Braemar 2 Power Station,11.88
Mt Stuart,11.88
Oakey Power Station,10.94
Roma,11.88
Port Lincoln GT,12.81
Snuggery,13.43
Dry Creek GT,13.69
Hallett GT,14.88
Ladbroke Grove,11.88
Mintaro GT,12.72
Quarantine,10.71
Bolivar Power Station,10.19
Bell Bay Three,12.04
Tamar Valley Peaking,12.72
Somerton,14.88
Bairnsdale,10.50
Jeeralang A,15.25
Jeeralang B,15.25
Laverton North,11.50
Mortlake,11.15
Valley Power,14.88
Torrens Island B,10.71
Newport,10.29
Angaston,12.78
Barker Inlet Power Station,7.89
Lonsdale,7.89
Port Stanvac 1,7.89
Kurri Kurri OCGT,10.93
Snapper Point Power Station,10.19
Tallawarra B,10.93
Kogan Gas,12.72
SA Hydrogen Turbine,12.72
OCGT (small GT),10.19
OCGT (large GT),10.93
CCGT,7.25
CCGT with CCS,8.96
Biomass,17.37
Hydrogen reciprocating engines,11.70
