Link Name,Forward increase,Reverse increase,Forward cost,Reverse cost
CQ-NQ,3000,3000,0.413,0.413
CQ-GG,2600,500,0.5,2.6
SQ-CQ,3150,3150,1.043492063,1.043492063
NNSW-SQ QNI,3000,2250,1.153846154,0.865384615
CNSW–NNSW QNI,3600,3600,0.681111111,0.681111111
CNSW­–SNW North,5000,0,0.1852,0
CNSW–SNW South,4500,0,0.344444444,0
CNSW­–SNW North AND South,8600,0,0.236976744,0
SNSW–CNSW Humelink linearised,8200,8200,0.964146341,0.964146341
VIC–SNSW VNI,1935,1669,1.867700258,2.165368484
TAS-VIC Marinus Link,3000,3000,1.430666667,1.430666667
TAS-VIC combined,3174,2674
VIC-SESA Heywood,3000,3000,0.454333333,0.454333333
SESA-CSA,3000,3000,0.602333333,0.602333333
