REZ,Name,State,Sub-region,WH,WM,WFX,WFL,Solar,Resource penalty,Peak demand,Summer Typical,Winter,Transmission expansion cost,Nearest load centre km,,Wind Land (MW),Solar Land (MW),Land area
Q1,Far North QLD,QLD,NQ,570,1710,,,1100,0.288711,750,750,750,1.42,370,0.664766667,6764.166672,16234,32468
Q2,North Qld Clean Energy Hub,QLD,NQ,4700,13900,,,8000,0.288711,700,700,700,0.43,292,0.524626667,27529.79169,66071.5,132143
Q3,Northern Qld,QLD,NQ,0,0,,,3400,0.288711,Modelled as part of NQ-CQ sub-regional limit,,,-,49,0.088036667,2087.708335,5010.5,10021
Q4,Isaac,QLD,CQ,1000,2800,,,6900,0.288711,See Group Constraint NQ2,,,-,160,0.287466667,12925.41668,31021,62042
Q5,Barcaldine,QLD,CQ,1000,2900,,,8000,0.288711,85,85,85,0.79,415,0.745616667,5320.833338,12770,25540
Q6,Fitzroy,QLD,CQ,900,2600,,,7533,0.288711,Modelled as part of CQ-SQ sub-regional limit (Note 11),,,0,181,0.325196667,4921.458337,11811.5,23623
Q7,Wide Bay,QLD,SQ,300,800,,,2200,0.288711,See Grouip Constraint SQ1,,,0,66,0.11858,2907.708336,6978.5,13957
Q8,Darling Downs,QLD,SQ,1400,4200,,,6992,0.288711,See Transmission Limit SWQLD1,,,0,147,0.26411,9618.958341,23085.5,46171
Q9,Banana,QLD,SQ,900,2500,,,6100,0.288711,150,150,150,0 (Included in connection costs),238,0.427606667,11423.54168,27416.5,54833
N1,North West NSW,NSW,NNSW,0,0,,,6385,0.288711,171,171,171,2.82,205 (Note 8),0.368316667,4755.000004,11412,22824
N2,New England,NSW,NNSW,1800,5600,,,2985,0.288711,577,577,577,0.37,298,0.535406667,4601.66667,11044,22088
N3,Central-West Orana,NSW,CNSW,800,2200,,,6850,0.288711,900 (Note 7),900 (Note 7),900 (Note 7),0,143,0.256923333,10656.45834,25575.5,51151
N4,Broken Hill,NSW,SNSW,1300,3800,,,8000,0.288711,250,250,250,2.61,1032,1.85416,6312.916672,15151,30302
N5,South West NSW,NSW,SNSW,1000,2900,,,2256,0.288711,215 (also see SNSW1 limit below),215 (also see SNSW1 limit below),215 (also see SNSW1 limit below),0.57,532,0.955826667,5615.416671,13477,26954
N6,Wagga Wagga,NSW,SNSW,300,700,,,1028,0.288711,1100,1100,1100,- (Note 2),265,0.476116667,2106.458335,5055.5,10111
N7,Tumut,NSW,SNSW,0,0,,,0,0.288711,0,0,0,N/A (Note 3),260,0.467133333,2819.375002,6766.5,13533
N8,Cooma-Monaro,NSW,SNSW,100,200,,,0,0.288711,350,350,350,1.02,260,0.467133333,828.333334,1988,3976
N9,Hunter-Central Coast,NSW,CNSW,400,1000,,,516,0.288711,400,400,400,0.32,26,0.046713333,1524.375001,3658.5,7317
N10,Hunter Coast,NSW,SNW,0,0,-,7420,0,0.288711,5650,5650,5650,0.46 (Note 12),26,0.046713333,0,0,0
N11,Illawarra Coast,NSW,SNW,0,0,148,5696,0,0,1000,1000,1000,0.41,24,0.04312,0,0,0
N12,Illawarra,NSW,SNW,0,0,,,0,0.29,1000,1000,1000,0.41,24,0.04312,71.45833339,171.5,343
V1,Ovens Murray,VIC,VIC,0,0,,,1000,0.288711,350,350,350,0,189,0.33957,3083.750002,7401,14802
V2,Murray River,VIC,VIC,0,0,,,4700,0.288711,440,440,640,1.14,297,0.53361,5142.500004,12342,24684
V3,Western Victoria,VIC,VIC,700,1900,,,400,0.288711,See Transmission Limit V3-EAST and V3-WEST,,,0,191,0.343163333,4521.875004,10852.5,21705
V4,South West Victoria,VIC,VIC,860.5,2581.5,,,0,0.288711,See Transmission Limit SWV1,,,0,89,0.159903333,3027.083336,7265,14530
V5,Gippsland,VIC,VIC,500,1500,,,500,0.288711,See Transmission Limit SEVIC1,,,0,183,0.32879,1030.625001,2473.5,4947
V6,Central North Vic,VIC,VIC,400,1200,,,1700,0.288711,650,650,1300,2.22,131,0.235363333,1253.750001,3009,6018
V7,Gippsland Coast,VIC,VIC,0,0,54996,5000,0,-,0,0,0,0.34,222,0.39886,0,0,0
V8,Portland Coast,VIC,VIC,0,0,3948,16596,0,-,See Transmission Limit SWV1,,,0,242,0.434793333,0,0,0
S1,South East SA,SA,SESA,800,2400,,,100,0.288711,Modelled as part of SESA-CSA subregional limit,,,0,230,0.413233333,5528.958338,13269.5,26539
S2,Riverland,SA,CSA,400,1000,,,4000,0.288711,130,130,130,0.14,165,0.29645,844.7916673,2027.5,4055
S3,Mid-North SA,SA,CSA,1200,3400,,,1300,0.288711,See Group Constraint MN1,,,0,116,0.208413333,6243.333338,14984,29968
S4,Yorke Peninsula,SA,CSA,400,1000,,,0,0.288711,100,100,100,1.26,81,0.14553,1669.791668,4007.5,8015
S5,Northern SA,SA,CSA,0,0,,,2900,0.288711,See Group Constraint NSA1,,,0,55,0.098816667,1858.750001,4461,8922
S6,Leigh Creek,SA,CSA,600,1800,,,6500,0.288711,0,0,0,0.88,279,0.50127,3485.208336,8364.5,16729
S7,Roxby Downs,SA,CSA,0,0,,,3400,0.288711,500,500,500,0.57,288,0.51744,4905.208337,11772.5,23545
S8,Eastern Eyre Peninsula,SA,CSA,600,1700,,,5000,0.288711,300 (Note 6),300 (Note 6),300 (Note 6),0.33,46,0.082646667,3475.208336,8340.5,16681
S9,Western Eyre Peninsula,SA,CSA,400,1100,,,4000,0.288711,-,-,-,0.91,180,0.3234,2215.000002,5316,10632
S10,South East SA Coast,SA,SESA,0,0,20428,7032,0,0,Modelled as part of SESA-CSA subregional limit,,,0,325,0.583916667,0,0,0
T1,North East Tasmania,TAS,TAS,400,1000,,,300,0.288711,400,400,400,0.5,62,0.111393333,3132.083336,7517,15034
T2,North West Tasmania,TAS,TAS,1300,3700,,,150,0.288711,277,277,112,0.38,124,0.222786667,1323.333334,3176,6352
