Name,$/MW,Additional
Q1,1.423255814,1290
Q2,0.434,1500
Q5,0.791111111,1350
Q9,0.359333333,3000
NQ2,0.72,1400
SQ1,0.2475,2800
SWQLD1,0.122666667,1500
N1,2.821686747,1660
N2,0.669333333,1500
N3,0.081,3000
N4,2.614857143,1750
N5,0.6405,2500
SWNSW1,0.253030303,600
N8,0.9,500
N9,0.4,950
N11,0.407,2000
N12,0.407,2000
V2,1.14,800
V2 Winter,1.14,800
V6,0.7,1500
V6 Winter,0.7,1500
V7,0.171,8000
SWV1,0.503417722,7900
SEVIC1,0.3753125,3200
V3-East,0.271666667,600
S2,0.142857143,700
S4,0.813333333,450
S6,0.882105263,950
S7,0.569473684,950
S8,0.333333333,300
S9,1.1,1000
MN1,0.9,1150
NSA1,0.22,1200
S1-TBMO,0.283333333,120
T1,0.418125,1600
T2,0.35125,1600
T2 Winter,0.35125,1600
T3,0.347985348,1365
T3 Winter,0.347985348,1365
T4,0.151470588,1360
T5,0.341111111,900
New South Wales Non-REZ,1.367,2378
Victoria Non-REZ,1.347,990
