Generator,Generator type,Region,ISP sub-region,REZ location,Cost zone,Summer Peak Rating,Summer Typical Rating,Winter Rating,Maintenance time out (%),Days out equivalent,Build cost ($/kW),Connection cost ($/kW),Total lead time (years),Economic life (years),Technical life (years),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat rate (GJ/MWh HHV s.o.),Fuel cost ($/GJ),Emissions (kg/MWh),Auxiliary load (%),SRMC ($/MWh)
OCGT (small GT),Gas,QLD,NQ,N/A,QLD Low,97.70,100.00,100.00,0.82,3.00,1602.88,110.49,4,25,40,13.47,12.83,10.19,16.93,248.81,1.70,185.36 
OCGT (small GT),Gas,QLD,CQ,N/A,QLD Low,97.70,100.00,100.00,0.82,3.00,1602.88,110.49,4,25,40,13.47,12.83,10.19,16.93,248.81,1.70,185.36 
OCGT (small GT),Gas,QLD,GG,N/A,QLD Low,97.70,100.00,100.00,0.82,3.00,1602.88,110.49,4,25,40,13.47,12.83,10.19,16.93,248.81,1.70,185.36 
OCGT (small GT),Gas,QLD,SQ,N/A,QLD Low,97.70,100.00,100.00,0.82,3.00,1602.88,110.49,4,25,40,13.47,12.83,10.19,16.93,248.81,1.70,185.36 
OCGT (small GT),Gas,NSW,NNSW,N/A,NSW Low,97.70,100.00,100.00,0.82,3.00,1602.88,85.54,4,25,40,13.47,12.83,10.19,17.46,248.81,1.70,190.75 
OCGT (small GT),Gas,NSW,CNSW,N/A,NSW Low,97.70,100.00,100.00,0.82,3.00,1602.88,85.54,4,25,40,13.47,12.83,10.19,17.46,248.81,1.70,190.75 
OCGT (small GT),Gas,NSW,SNW,N/A,NSW Low,97.70,100.00,100.00,0.82,3.00,1602.88,85.54,4,25,40,13.47,12.83,10.19,17.46,248.81,1.70,190.75 
OCGT (small GT),Gas,NSW,SNSW,N/A,NSW Medium,97.70,100.00,100.00,0.82,3.00,1672.13,85.54,4,25,40,14.55,13.86,10.19,17.46,248.81,1.70,191.77 
OCGT (small GT),Gas,VIC,VIC,N/A,VIC Low,97.70,100.00,100.00,0.82,3.00,1602.88,115.48,4,25,40,13.47,12.83,10.19,16.73,248.81,1.70,183.33 
OCGT (small GT),Gas,SA,CSA,N/A,SA Low,97.70,100.00,100.00,0.82,3.00,1602.88,110.49,4,25,40,13.47,12.83,10.19,16.98,248.81,1.70,185.89 
OCGT (small GT),Gas,SA,SESA,N/A,SA Medium,97.70,100.00,100.00,0.82,3.00,1636.38,110.49,4,25,40,15.09,14.37,10.19,16.98,248.81,1.70,187.43 
OCGT (small GT),Gas,TAS,TAS,N/A,TAS Low,97.70,100.00,100.00,0.82,3.00,1602.88,115.48,4,25,40,13.47,12.83,10.19,17.16,248.81,1.70,187.66 
OCGT (large GT),Gas,QLD,NQ,N/A,QLD Low,86.38,92.19,98.52,1.37,5.00,1018.43,110.49,4,25,40,10.91,7.81,10.93,16.93,266.91,1.10,192.88 
OCGT (large GT),Gas,QLD,CQ,N/A,QLD Low,86.38,92.19,98.52,1.37,5.00,1018.43,110.49,4,25,40,10.91,7.81,10.93,16.93,266.91,1.10,192.88 
OCGT (large GT),Gas,QLD,GG,N/A,QLD Low,86.38,92.19,98.52,1.37,5.00,1018.43,110.49,4,25,40,10.91,7.81,10.93,16.93,266.91,1.10,192.88 
OCGT (large GT),Gas,QLD,SQ,N/A,QLD Low,86.38,92.19,98.52,1.37,5.00,1018.43,110.49,4,25,40,10.91,7.81,10.93,16.93,266.91,1.10,192.88 
OCGT (large GT),Gas,NSW,NNSW,N/A,NSW Low,86.38,92.19,98.52,1.37,5.00,1018.43,85.54,4,25,40,10.91,7.81,10.93,17.46,266.91,1.10,198.66 
OCGT (large GT),Gas,NSW,CNSW,N/A,NSW Low,86.38,92.19,98.52,1.37,5.00,1018.43,85.54,4,25,40,10.91,7.81,10.93,17.46,266.91,1.10,198.66 
OCGT (large GT),Gas,NSW,SNW,N/A,NSW Low,86.38,92.19,98.52,1.37,5.00,1018.43,85.54,4,25,40,10.91,7.81,10.93,17.46,266.91,1.10,198.66 
OCGT (large GT),Gas,NSW,SNSW,N/A,NSW Medium,86.38,92.19,98.52,1.37,5.00,1062.80,85.54,4,25,40,11.78,8.43,10.93,17.46,266.91,1.10,199.28 
OCGT (large GT),Gas,VIC,VIC,N/A,VIC Low,86.38,92.19,98.52,1.37,5.00,1018.43,115.48,4,25,40,10.91,7.81,10.93,16.73,266.91,1.10,190.70 
OCGT (large GT),Gas,SA,CSA,N/A,SA Low,86.38,92.19,98.52,1.37,5.00,1018.43,110.49,4,25,40,10.91,7.81,10.93,16.98,266.91,1.10,193.45 
OCGT (large GT),Gas,SA,SESA,N/A,SA Medium,86.38,92.19,98.52,1.37,5.00,1041.02,110.49,4,25,40,12.22,8.74,10.93,16.98,266.91,1.10,194.39 
OCGT (large GT),Gas,TAS,TAS,N/A,TAS Low,86.38,92.19,98.52,1.37,5.00,1018.43,115.48,4,25,40,10.91,7.81,10.93,17.16,266.91,1.10,195.35 
CCGT,Gas,QLD,NQ,N/A,QLD Low,87.27,92.91,97.55,3.51,12.80,1888.38,110.49,5,25,40,11.66,3.96,7.25,15.75,173.50,2.50,118.12 
CCGT,Gas,QLD,CQ,N/A,QLD Low,87.27,92.91,97.55,3.51,12.80,1888.38,110.49,5,25,40,11.66,3.96,7.25,15.75,173.50,2.50,118.12 
CCGT,Gas,QLD,GG,N/A,QLD Low,87.27,92.91,97.55,3.51,12.80,1888.38,110.49,5,25,40,11.66,3.96,7.25,15.75,173.50,2.50,118.12 
CCGT,Gas,QLD,SQ,N/A,QLD Low,87.27,92.91,97.55,3.51,12.80,1888.38,110.49,5,25,40,11.66,3.96,7.25,15.75,173.50,2.50,118.12 
CCGT,Gas,NSW,NNSW,N/A,NSW Low,87.27,92.91,97.55,3.51,12.80,1888.38,85.54,5,25,40,11.66,3.96,7.25,16.19,173.50,2.50,121.34 
CCGT,Gas,NSW,CNSW,N/A,NSW Low,87.27,92.91,97.55,3.51,12.80,1888.38,85.54,5,25,40,11.66,3.96,7.25,16.19,173.50,2.50,121.34 
CCGT,Gas,NSW,SNW,N/A,NSW Low,87.27,92.91,97.55,3.51,12.80,1888.38,85.54,5,25,40,11.66,3.96,7.25,16.19,173.50,2.50,121.34 
CCGT,Gas,NSW,SNSW,N/A,NSW Medium,87.27,92.91,97.55,3.51,12.80,1970.15,85.54,5,25,40,12.59,4.27,7.25,16.19,173.50,2.50,121.66 
CCGT,Gas,VIC,VIC,N/A,VIC Low,87.27,92.91,97.55,3.51,12.80,1888.38,80.20,5,25,40,11.66,3.96,7.25,15.60,173.50,2.50,117.08 
CCGT,Gas,SA,CSA,N/A,SA Low,87.27,92.91,97.55,3.51,12.80,1888.38,110.49,5,25,40,11.66,3.96,7.25,16.00,173.50,2.50,119.93 
CCGT,Gas,SA,SESA,N/A,SA Medium,87.27,92.91,97.55,3.51,12.80,1927.85,110.49,5,25,40,13.05,4.43,7.25,16.00,173.50,2.50,120.40 
CCGT,Gas,TAS,TAS,N/A,TAS Low,87.27,92.91,97.55,3.51,12.80,1888.38,115.48,5,25,40,11.66,3.96,7.25,16.03,173.50,2.50,120.16 
CCGT with CCS,Gas,QLD,NQ,N/A,QLD Low,81.19,85.94,90.07,3.51,12.80,4655.73,110.49,6,25,40,17.48,7.70,8.96,15.75,26.39,9.20,148.86 
CCGT with CCS,Gas,QLD,CQ,N/A,QLD Low,81.19,85.94,90.07,3.51,12.80,4655.73,110.49,6,25,40,17.48,7.70,8.96,15.75,26.39,9.20,148.86 
CCGT with CCS,Gas,QLD,GG,N/A,QLD Low,81.19,85.94,90.07,3.51,12.80,4655.73,110.49,6,25,40,17.48,7.70,8.96,15.75,26.39,9.20,148.86 
CCGT with CCS,Gas,QLD,SQ,N/A,QLD Low,81.19,85.94,90.07,3.51,12.80,4655.73,110.49,6,25,40,17.48,7.70,8.96,15.75,26.39,9.20,148.86 
CCGT with CCS,Gas,NSW,NNSW,N/A,NSW Low,81.19,85.94,90.07,3.51,12.80,4655.73,85.54,6,25,40,17.48,7.70,8.96,16.19,26.39,9.20,152.84 
CCGT with CCS,Gas,NSW,CNSW,N/A,NSW Low,81.19,85.94,90.07,3.51,12.80,4655.73,85.54,6,25,40,17.48,7.70,8.96,16.19,26.39,9.20,152.84 
CCGT with CCS,Gas,NSW,SNW,N/A,NSW Low,81.19,85.94,90.07,3.51,12.80,4655.73,85.54,6,25,40,17.48,7.70,8.96,16.19,26.39,9.20,152.84 
CCGT with CCS,Gas,NSW,SNSW,N/A,NSW Medium,81.19,85.94,90.07,3.51,12.80,4856.39,85.54,6,25,40,18.88,8.31,8.96,16.19,26.39,9.20,153.46 
CCGT with CCS,Gas,VIC,VIC,N/A,VIC Low,81.19,85.94,90.07,3.51,12.80,4655.73,80.20,6,25,40,17.48,7.70,8.96,15.60,26.39,9.20,147.57 
CCGT with CCS,Gas,SA,CSA,N/A,SA Low,81.19,85.94,90.07,3.51,12.80,4655.73,110.49,6,25,40,17.48,7.70,8.96,16.00,26.39,9.20,151.09 
CCGT with CCS,Gas,SA,SESA,N/A,SA Medium,81.19,85.94,90.07,3.51,12.80,4750.71,110.49,6,25,40,19.58,8.62,8.96,16.00,26.39,9.20,152.01 
CCGT with CCS,Gas,TAS,TAS,N/A,TAS Low,81.19,85.94,90.07,3.51,12.80,4655.73,115.48,6,25,40,17.48,7.70,8.96,16.03,26.39,9.20,151.38 
Biomass,Biomass,QLD,NQ,N/A,QLD Low,94.93,100.00,100.00,6.25,22.80,8367.27,110.49,6,30,50,161.48,10.33,17.37,0.62,20.84,7.30,21.17 
Biomass,Biomass,QLD,CQ,N/A,QLD Low,94.93,100.00,100.00,6.25,22.80,8367.27,110.49,6,30,50,161.48,10.33,17.37,0.62,20.84,7.30,21.17 
Biomass,Biomass,QLD,GG,N/A,QLD Low,94.93,100.00,100.00,6.25,22.80,8367.27,110.49,6,30,50,161.48,10.33,17.37,0.62,20.84,7.30,21.17 
Biomass,Biomass,QLD,SQ,N/A,QLD Low,94.93,100.00,100.00,6.25,22.80,8367.27,110.49,6,30,50,161.48,10.33,17.37,0.62,20.84,7.30,21.17 
Biomass,Biomass,NSW,NNSW,N/A,NSW Low,94.93,100.00,100.00,6.25,22.80,8367.27,85.54,6,30,50,161.48,10.33,17.37,0.62,20.84,7.30,21.17 
Biomass,Biomass,NSW,CNSW,N/A,NSW Low,94.93,100.00,100.00,6.25,22.80,8367.27,85.54,6,30,50,161.48,10.33,17.37,0.62,20.84,7.30,21.17 
Biomass,Biomass,NSW,SNW,N/A,NSW Low,94.93,100.00,100.00,6.25,22.80,8367.27,85.54,6,30,50,161.48,10.33,17.37,0.62,20.84,7.30,21.17 
Biomass,Biomass,NSW,SNSW,N/A,NSW Medium,94.93,100.00,100.00,6.25,22.80,8766.39,85.54,6,30,50,174.40,11.16,17.37,0.62,20.84,7.30,22.00 
Biomass,Biomass,VIC,VIC,N/A,VIC Low,94.93,100.00,100.00,6.25,22.80,8367.27,115.48,6,30,50,161.48,10.33,17.37,0.62,20.84,7.30,21.17 
Biomass,Biomass,SA,CSA,N/A,SA Low,94.93,100.00,100.00,6.25,22.80,8367.27,110.49,6,30,50,161.48,10.33,17.37,0.62,20.84,7.30,21.17 
Biomass,Biomass,SA,SESA,N/A,SA Medium,94.93,100.00,100.00,6.25,22.80,8613.27,110.49,6,30,50,180.86,11.57,17.37,0.62,20.84,7.30,22.41 
Biomass,Biomass,TAS,TAS,N/A,TAS Low,94.93,100.00,100.00,6.25,22.80,8367.27,115.48,6,30,50,161.48,10.33,17.37,0.62,20.84,7.30,21.17 
Large scale Solar PV,Solar,QLD,NQ,Far North QLD,QLD Low,100.00,100.00,100.00,0.00,0.00,1697.75,253.67,2,30,30,18.18,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,QLD,NQ,North Qld Clean Energy Hub,QLD Low,100.00,100.00,100.00,0.00,0.00,1697.75,297.00,2,30,30,18.18,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,QLD,NQ,Northern Qld,QLD Low,100.00,100.00,100.00,0.00,0.00,1697.75,253.67,2,30,30,18.18,-  ,0.00,0.00,0.00,0.02,-   
Large scale Solar PV,Solar,QLD,CQ,Isaac,QLD Low,100.00,100.00,100.00,0.00,0.00,1697.75,250.33,2,30,30,18.18,-  ,0.00,0.00,0.00,0.02,-   
