Generator,DUID,Region,SP2023-24,SP2024-25,SP2025-26,SP2026-27,SP2027-28,SP2028-29,SP2029-30,SP2030-31,SP2031-32,SP2032-33,ST2023-24,ST2024-25,ST2025-26,ST2026-27,ST2027-28,ST2028-29,ST2029-30,ST2030-31,ST2031-32,ST2032-33,W2023,W2024,W2025,W2026,W2027,W2028,W2029,W2030,W2031,W2032
Coppabella Wind Farm,Coppabella Wind Farm,NSW,0,0,40,270,270,270,270,270,270,270,0,0,40,270,270,270,270,270,270,270,0,0,0,200,270,270,270,270,270,270
Derby Solar Project BESS,Derby Solar Project BESS,VIC,0,0,85,85,85,85,85,85,85,85,0,0,85,85,85,85,85,85,85,85,0,0,85,85,85,85,85,85,85,85
Fulham Solar Farm,Fulham Solar Farm,VIC,0,0,0,83,83,83,83,83,83,83,0,0,0,83,83,83,83,83,83,83,0,0,0,83,83,83,83,83,83,83
Fulham Solar Farm BESS,Fulham Solar Farm BESS,VIC,0,0,0,65,65,65,65,65,65,65,0,0,0,65,65,65,65,65,65,65,0,0,0,65,65,65,65,65,65,65
Goulburn River BESS,Goulburn River BESS,NSW,0,0,49,49,49,49,49,49,49,49,0,0,49,49,49,49,49,49,49,49,0,0,49,49,49,49,49,49,49,49
Horsham Solar Farm BESS,Horsham Solar Farm BESS,VIC,0,0,50,50,50,50,50,50,50,50,0,0,50,50,50,50,50,50,50,50,0,0,50,50,50,50,50,50,50,50
Kiamal Solar Farm – Stage 2,Kiamal Solar Farm - Stage 2,VIC,0,0,0,0,142,142,142,142,142,142,0,0,0,0,149,149,149,149,149,149,0,0,0,150,150,150,150,150,150,150
Kiamal Solar Farm – Stage 2 BESS,Kiamal Solar Farm Stage 2 BESS,VIC,0,0,0,0,142,142,142,142,142,142,0,0,0,0,149,149,149,149,149,149,0,0,0,150,150,150,150,150,150,150
Kogan Gas,Kogan Gas,QLD,0,0,0,168,168,168,168,168,168,168,0,0,0,184,184,184,184,184,184,184,0,0,0,200,200,200,200,200,200,200
Limondale BESS,Limondale BESS,NSW,0,0,50,50,50,50,50,50,50,50,0,0,50,50,50,50,50,50,50,50,0,0,50,50,50,50,50,50,50,50
New England Solar Farm - stage 2,New England Solar Farm 2,NSW,0,0,320,320,320,320,320,320,320,320,0,0,320,320,320,320,320,320,320,320,0,0,180,320,320,320,320,320,320,320
Silver City Energy Storage,Silver City Energy Storage,NSW,0,0,0,0,200,200,200,200,200,200,0,0,0,0,200,200,200,200,200,200,0,0,0,0,200,200,200,200,200,200
Smithfield BESS,Smithfield BESS,NSW,0,0,65,65,65,65,65,65,65,65,0,0,65,65,65,65,65,65,65,65,0,0,65,65,65,65,65,65,65,65
