Generator,DUID,Region,SP2023-24,SP2024-25,SP2025-26,SP2026-27,SP2027-28,SP2028-29,SP2029-30,SP2030-31,SP2031-32,SP2032-33,ST2023-24,ST2024-25,ST2025-26,ST2026-27,ST2027-28,ST2028-29,ST2029-30,ST2030-31,ST2031-32,ST2032-33,W2023,W2024,W2025,W2026,W2027,W2028,W2029,W2030,W2031,W2032
SA Hydrogen Turbine,SA Hydrogen Turbine,SA,0,0,200,200,200,200,200,200,200,200,0,0,200,200,200,200,200,200,200,200,0,0,200,200,200,200,200,200,200,200
Borumba,QEJP - Borumba,QLD,0,0,0,0,0,0,0,0,1998,1998,0,0,0,0,0,0,0,0,1998,1998,0,0,0,0,0,0,0,0,1998,1998
Aramara Solar Farm,Aramara Solar Farm,QLD,0,0,0,101,101,101,101,101,101,101,0,0,0,101,101,101,101,101,101,101,0,0,0,101,101,101,101,101,101,101
Banksia Solar Farm,Banksia Solar Farm,QLD,0,0,59,59,59,59,59,59,59,59,0,0,60,60,60,60,60,60,60,60,0,0,60,60,60,60,60,60,60,60
Culcairn Solar Farm,Culcairn Solar Farm,NSW,0,0,332,332,332,332,332,332,332,332,0,0,350,350,350,350,350,350,350,350,0,0,20,350,350,350,350,350,350,350
Cultana Solar Farm,Cultana Solar Farm,SA,0,0,0,280,280,280,280,280,280,280,0,0,0,280,280,280,280,280,280,280,0,0,0,280,280,280,280,280,280,280
Derby Solar Farm,Derby Solar Farm,VIC,0,95,95,95,95,95,95,95,95,95,0,95,95,95,95,95,95,95,95,95,0,95,95,95,95,95,95,95,95,95
Frasers Solar Farm,Frasers Solar Farm,VIC,0,0,77,77,77,77,77,77,77,77,0,0,77,77,77,77,77,77,77,77,0,0,0,77,77,77,77,77,77,77
Horsham Solar Farm,Horsham Solar Farm,VIC,0,0,0,119,119,119,119,119,119,119,0,0,0,119,119,119,119,119,119,119,0,0,0,119,119,119,119,119,119,119
Lockhart Hybrid Facility - Solar,Lockhart Hybrid Facility - Solar,NSW,0,0,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10
Quorn Park Solar Farm,Quorn Park Solar Farm,NSW,0,0,80,80,80,80,80,80,80,80,0,0,80,80,80,80,80,80,80,80,0,0,80,80,80,80,80,80,80,80
Tamworth Solar Farm,Tamworth Solar Farm,NSW,0,0,65,65,65,65,65,65,65,65,0,0,65,65,65,65,65,65,65,65,0,0,0,65,65,65,65,65,65,65
Tilbuster Solar Farm,Tilbuster Solar Farm,NSW,0,0,0,201,201,201,201,201,201,201,0,0,0,201,201,201,201,201,201,201,0,0,0,201,201,201,201,201,201,201
MacIntyre Wind Farm,MacIntyre Wind Farm,QLD,0,923,923,923,923,923,923,923,923,923,0,923,923,923,923,923,923,923,923,923,0,923,923,923,923,923,923,923,923,923
Uungula Wind Farm,Uungula Wind Farm,NSW,0,0,0,0,0,0,0,0,0,0,0,0,0,414,414,414,414,414,414,414,0,0,138,414,414,414,414,414,414,414
Woolsthorpe Wind Farm,Woolsthorpe Wind Farm,VIC,0,0,73,73,73,73,73,73,73,73,0,0,73,73,73,73,73,73,73,73,0,0,73,73,73,73,73,73,73,73
