Generator,DUID,Region,SP2023-24,SP2024-25,SP2025-26,SP2026-27,SP2027-28,SP2028-29,SP2029-30,SP2030-31,SP2031-32,SP2032-33,ST2023-24,ST2024-25,ST2025-26,ST2026-27,ST2027-28,ST2028-29,ST2029-30,ST2030-31,ST2031-32,ST2032-33,W2023,W2024,W2025,W2026,W2027,W2028,W2029,W2030,W2031,W2032
Adelaide Desalination Plant BESS,ADPBA1G,SA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Aldoga BESS Stage 1,Aldoga BESS Stage 1,QLD,0,0,400,400,400,400,400,400,400,400,0,0,400,400,400,400,400,400,400,400,0,0,400,400,400,400,400,400,400,400
Ballarat Energy Storage System,BALBG1,VIC,29,29,29,29,29,29,19,19,19,19,30,30,30,30,30,30,20,20,20,20,30,30,30,30,30,30,20,20,20,20
Blyth BESS,Blyth BESS,SA,0,160,194,194,194,194,194,194,194,194,0,160,200,200,200,200,200,200,200,200,0,0,200,200,200,200,200,200,200,200
Bolivar Waste Water Treatment BESS,BOWWBA1G,SA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Bouldercombe Battery project,BBATTERY,QLD,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,50,50,50,50,50,50,50,50,50
Broken Hill BESS,Broken Hill BESS,NSW,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,50,50,50,50,50,50,50,50,50
Bulgana Green Power Hub BESS,BULBESG1,VIC,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Bungama Solar BESS,Bungama Solar BESS,SA,0,0,150,150,150,150,150,150,150,150,0,0,150,150,150,150,150,150,150,150,0,0,0,150,150,150,150,150,150,150
Capital Battery,CAPBES1G,NSW,5,99,99,99,99,99,99,99,99,99,5,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100
Chinchilla BESS,Chinchilla BESS,QLD,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100
Christies Beach Wastewater Treatment Plant BESS,CBWWBA1G,SA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Dalrymple BESS,DALNTH01,SA,30,30,30,30,30,30,30,0,0,0,30,30,30,30,30,30,30,0,0,0,30,30,30,30,30,30,30,30,0,0
Darlington Point Energy Storage System,DPNTBG1,NSW,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Eraring Big Battery,Eraring Big Battery,NSW,0,0,460,460,460,460,460,460,460,460,0,0,460,460,460,460,460,460,460,460,0,0,0,460,460,460,460,460,460,460
Gannawarra Energy Storage System,GANNBG1,VIC,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Gnarwarre BESS,Gnarwarre BESS,VIC,0,0,250,250,250,250,250,250,250,250,0,0,250,250,250,250,250,250,250,250,0,0,0,250,250,250,250,250,250,250
Happy Valley Reservoir BESS,HVWWBA1G,SA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Hazelwood BESS,HBESSG1,VIC,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Hornsdale Power Reserve Unit 1,HPRG1,SA,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Koorangie Energy Storage System,Koorangie Energy Storage System,VIC,0,0,185,185,185,185,185,185,185,185,0,0,185,185,185,185,185,185,185,185,0,0,185,185,185,185,185,185,185,185
Lake Bonney BESS,LBBG1,SA,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Liddell BESS,Liddell BESS,NSW,0,0,500,500,500,500,500,500,500,500,0,0,500,500,500,500,500,500,500,500,0,0,500,500,500,500,500,500,500,500
Lincoln Gap Wind Farm BESS,Lincoln Gap Wind Farm BESS,SA,0,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10
Lockhart Hybrid Facility - Battery,Lockhart Hybrid Facility - Battery,NSW,0,0,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10
Melbourne Renewable Energy Hub - Side A,Melbourne Renewable Energy Hub - Side A,VIC,0,0,600,600,600,600,600,600,600,600,0,0,600,600,600,600,600,600,600,600,0,0,600,600,600,600,600,600,600,600
Mornington BESS,Mornington BESS,VIC,0,0,240,240,240,240,240,240,240,240,0,0,240,240,240,240,240,240,240,240,0,0,0,240,240,240,240,240,240,240
Mortlake Battery,Mortlake Battery,VIC,0,0,0,300,300,300,300,300,300,300,0,0,0,300,300,300,300,300,300,300,0,0,0,0,300,300,300,300,300,300
Mt Fox BESS,Mt Fox BESS,QLD,0,0,300,300,300,300,300,300,300,300,0,0,300,300,300,300,300,300,300,300,0,0,300,300,300,300,300,300,300,300
New England Solar Farm BESS,New England Solar Farm BESS,NSW,0,0,50,200,200,200,200,200,200,200,0,0,50,200,200,200,200,200,200,200,0,0,50,100,200,200,200,200,200,200
Orana BESS,Orana BESS,NSW,0,0,368,368,368,368,368,368,368,368,0,0,408,408,408,408,408,408,408,408,0,0,408,408,408,408,408,408,408,408
Philip Island BESS,PIBESSG1,VIC,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Queanbeyan BESS,QBYNBG1,NSW,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Quorn Park BESS,Quorn Park BESS,NSW,0,0,20,20,20,20,20,20,20,20,0,0,20,20,20,20,20,20,20,20,0,0,20,20,20,20,20,20,20,20
Rangebank BESS,Rangebank BESS,VIC,0,200,200,200,200,200,200,200,200,200,0,200,200,200,200,200,200,200,200,200,0,200,200,200,200,200,200,200,200,200
Richmond Valley BESS,Richmond Valley BESS,NSW,0,0,275,275,275,275,275,275,275,275,0,0,275,275,275,275,275,275,275,275,0,0,275,275,275,275,275,275,275,275
Riverina Energy Storage System 1,RESS1G,NSW,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Riverina Energy Storage System 2,RIVNBG2,NSW,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Sapphire Wind Farm BESS,Sapphire Wind Farm Battery,NSW,0,0,30,30,30,30,30,30,30,30,0,0,30,30,30,30,30,30,30,30,0,0,30,30,30,30,30,30,30,30
Stanwell BESS,Stanwell BESS,QLD,0,0,0,0,150,150,150,150,150,150,0,0,0,0,150,150,150,150,150,150,0,0,0,0,150,150,150,150,150,150
Swanbank BESS,Swanbank BESS,QLD,0,0,250,250,250,250,250,250,250,250,0,0,250,250,250,250,250,250,250,250,0,0,0,250,250,250,250,250,250,250
Tailem Bend Battery Project,TB2BG1,SA,0,42,42,42,42,42,42,42,42,42,0,42,42,42,42,42,42,42,42,42,0,42,42,42,42,42,42,42,42,42
Tamworth BESS,Tamworth BESS,NSW,0,0,0,200,200,200,200,200,200,200,0,0,0,200,200,200,200,200,200,200,0,0,0,200,200,200,200,200,200,200
Tarong BESS,Tarong BESS,QLD,0,300,300,300,300,300,300,300,300,300,0,300,300,300,300,300,300,300,300,300,0,300,300,300,300,300,300,300,300,300
Templers BESS,Templers BESS,SA,0,30,111,111,111,111,111,111,111,111,0,30,111,111,111,111,111,111,111,111,0,0,111,111,111,111,111,111,111,111
Terang BESS,TRGBESS,VIC,0,0,102,102,102,102,102,102,102,102,0,0,102,102,102,102,102,102,102,102,0,0,0,102,102,102,102,102,102,102
Torrens Island BESS,TIBG1,SA,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251
Ulinda Park BESS,Ulinda Park BESS,QLD,0,155,155,155,155,155,155,155,155,155,0,155,155,155,155,155,155,155,155,155,0,0,155,155,155,155,155,155,155,155
Victorian Big Battery,VBBG1,VIC,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,300,300,300,300,300,300,300,300,300,300
Wallgrove Grid Battery project,WALGRVG1,NSW,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Wandoan South BESS,WANDBG1,QLD,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Waratah Super Battery,WARATAH,NSW,0,0,108,108,108,108,108,778,778,778,0,0,150,150,150,150,150,850,850,850,0,0,150,150,150,150,150,850,850,850
Western Downs Battery,Western Downs Battery,QLD,0,199,255,255,255,255,255,255,255,255,0,199,255,255,255,255,255,255,255,255,0,0,255,255,255,255,255,255,255,255
Wooreen Energy Storage System,Wooreen Battery,VIC,0,0,0,350,350,350,350,350,350,350,0,0,0,350,350,350,350,350,350,350,0,0,0,0,350,350,350,350,350,350
