Generator,DUID,Region,SP2023-24,SP2024-25,SP2025-26,SP2026-27,SP2027-28,SP2028-29,SP2029-30,SP2030-31,SP2031-32,SP2032-33,ST2023-24,ST2024-25,ST2025-26,ST2026-27,ST2027-28,ST2028-29,ST2029-30,ST2030-31,ST2031-32,ST2032-33,W2023,W2024,W2025,W2026,W2027,W2028,W2029,W2030,W2031,W2032
Kurri Kurri OCGT,Kurri Kurri 1,NSW,0,330,330,330,330,330,330,330,330,330,0,330,330,330,330,330,330,330,330,330,0,0,330,330,330,330,330,330,330,330
Kurri Kurri OCGT,Kurri Kurri 2,NSW,0,330,330,330,330,330,330,330,330,330,0,330,330,330,330,330,330,330,330,330,0,0,330,330,330,330,330,330,330,330
Tallawarra B*,Tallawarra B,NSW,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,0,320,320,320,320,320,320,320,320,320
Kidston ,Kidston Pumped Storage Hydro 1,QLD,0,250,250,250,250,250,250,250,250,250,0,250,250,250,250,250,250,250,250,250,0,0,250,250,250,250,250,250,250,250
Snowy 2.0,SNO2PH01,NSW,0,0,0,0,0,367,367,367,367,367,0,0,0,0,0,367,367,367,367,367,0,0,0,0,0,244,367,367,367,367
Snowy 2.0,SNO2PH02,NSW,0,0,0,0,0,367,367,367,367,367,0,0,0,0,0,367,367,367,367,367,0,0,0,0,0,244,367,367,367,367
Snowy 2.0,SNO2PH03,NSW,0,0,0,0,0,367,367,367,367,367,0,0,0,0,0,367,367,367,367,367,0,0,0,0,0,244,367,367,367,367
Snowy 2.0,SNO2PH04,NSW,0,0,0,0,0,367,367,367,367,367,0,0,0,0,0,367,367,367,367,367,0,0,0,0,0,244,367,367,367,367
Snowy 2.0,SNO2PH05,NSW,0,0,0,0,0,367,367,367,367,367,0,0,0,0,0,367,367,367,367,367,0,0,0,0,0,244,367,367,367,367
Snowy 2.0,SNO2PH06,NSW,0,0,0,0,0,367,367,367,367,367,0,0,0,0,0,367,367,367,367,367,0,0,0,0,0,244,367,367,367,367
Girgarre Solar Farm,Girgarre Solar Farm,VIC,0,70,70,70,70,70,70,70,70,70,0,76,76,76,76,76,76,76,76,76,0,76,76,76,76,76,76,76,76,76
Glenrowan Solar Farm,Glenrowan Solar Farm,VIC,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,0,102,102,102,102,102,102,102,102,102
