Generator,DUID,Region,SP2023-24,SP2024-25,SP2025-26,SP2026-27,SP2027-28,SP2028-29,SP2029-30,SP2030-31,SP2031-32,SP2032-33,ST2023-24,ST2024-25,ST2025-26,ST2026-27,ST2027-28,ST2028-29,ST2029-30,ST2030-31,ST2031-32,ST2032-33,W2023,W2024,W2025,W2026,W2027,W2028,W2029,W2030,W2031,W2032
Bayswater,BW01,NSW,630,630,630,630,630,630,630,630,630,630,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660
Bayswater,BW02,NSW,655,655,655,655,655,655,655,655,655,655,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685
Bayswater,BW03,NSW,655,655,655,655,655,655,655,655,655,655,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685
Bayswater,BW04,NSW,655,655,655,655,655,655,655,655,655,655,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685,685
Callide B,CALL_B_1,QLD,325,325,325,325,325,325,0,0,0,0,325,325,325,325,325,325,0,0,0,0,350,350,350,350,350,350,0,0,0,0
Callide B,CALL_B_2,QLD,325,325,325,325,325,325,0,0,0,0,325,325,325,325,325,325,0,0,0,0,350,350,350,350,350,350,0,0,0,0
Callide C,CPP_3,QLD,0,434,434,434,434,434,434,434,434,434,0,466,466,466,466,466,466,466,466,466,0,466,466,466,466,466,466,466,466,466
Callide C,CPP_4,QLD,0,420,420,420,420,420,420,420,420,420,0,420,420,420,420,420,420,420,420,420,0,0,420,420,420,420,420,420,420,420
Eraring,ER01,NSW,680,680,0,0,0,0,0,0,0,0,680,672,0,0,0,0,0,0,0,0,720,720,720,0,0,0,0,0,0,0
Eraring,ER02,NSW,680,680,0,0,0,0,0,0,0,0,680,680,0,0,0,0,0,0,0,0,720,720,720,0,0,0,0,0,0,0
Eraring,ER03,NSW,660,670,0,0,0,0,0,0,0,0,660,670,0,0,0,0,0,0,0,0,700,680,690,0,0,0,0,0,0,0
Eraring,ER04,NSW,660,660,0,0,0,0,0,0,0,0,660,660,0,0,0,0,0,0,0,0,680,680,680,0,0,0,0,0,0,0
Gladstone,GSTONE1,QLD,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280
Gladstone,GSTONE2,QLD,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280
Gladstone,GSTONE3,QLD,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280
Gladstone,GSTONE4,QLD,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280
Gladstone,GSTONE5,QLD,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280
Gladstone,GSTONE6,QLD,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280
Kogan Creek,KPP_1,QLD,710,710,710,710,710,710,710,710,710,710,730,730,730,730,730,730,730,730,730,730,750,750,750,750,750,750,750,750,750,750
Millmerran,MPP_1,QLD,335,335,335,335,335,335,335,335,335,335,400,400,400,400,400,400,400,400,400,400,426,426,426,426,426,426,426,426,426,426
Millmerran,MPP_2,QLD,335,335,335,335,335,335,335,335,335,335,400,400,400,400,400,400,400,400,400,400,426,426,426,426,426,426,426,426,426,426
Mt Piper,MP1,NSW,705,705,705,705,705,705,705,705,705,705,710,710,710,710,710,710,710,710,710,710,730,730,730,730,730,730,730,730,730,730
Mt Piper,MP2,NSW,675,675,675,675,675,675,675,675,675,675,680,680,680,680,680,680,680,680,680,680,700,700,700,700,700,700,700,700,700,700
Stanwell,STAN-1,QLD,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
Stanwell,STAN-2,QLD,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
Stanwell,STAN-3,QLD,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
Stanwell,STAN-4,QLD,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365,365
Tarong,TARONG#1,QLD,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
Tarong,TARONG#2,QLD,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
Tarong,TARONG#3,QLD,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
Tarong,TARONG#4,QLD,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
Tarong North,TNPS1,QLD,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443,443
Vales Point B,VP5,NSW,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660
Vales Point B,VP6,NSW,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660
Loy Yang A Power Station,LYA1,VIC,540,540,540,540,540,540,540,540,540,540,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560
Loy Yang A Power Station,LYA2,VIC,500,500,500,500,500,500,500,500,500,500,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530
Loy Yang A Power Station,LYA3,VIC,510,510,510,510,510,510,510,510,510,510,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560
Loy Yang A Power Station,LYA4,VIC,530,530,530,530,530,530,530,530,530,530,540,540,540,540,540,540,540,540,540,540,560,560,560,560,560,560,560,560,560,560
Loy Yang B,LOYYB1,VIC,540,540,540,540,540,540,540,540,540,540,555,555,555,555,555,555,555,555,555,555,580,580,580,580,580,580,580,580,580,580
Loy Yang B,LOYYB2,VIC,550,550,550,550,550,550,550,550,550,550,560,560,560,560,560,560,560,560,560,560,580,580,580,580,580,580,580,580,580,580
Yallourn W,YWPS1,VIC,335,350,350,350,350,0,0,0,0,0,360,360,360,360,360,0,0,0,0,0,365,380,380,380,380,380,0,0,0,0
Yallourn W,YWPS2,VIC,330,330,330,330,330,0,0,0,0,0,350,350,350,350,350,0,0,0,0,0,360,360,360,360,360,360,0,0,0,0
Yallourn W,YWPS3,VIC,360,360,360,360,360,0,0,0,0,0,370,370,370,370,370,0,0,0,0,0,395,395,395,395,395,395,0,0,0,0
Yallourn W,YWPS4,VIC,360,360,360,360,360,0,0,0,0,0,370,370,370,370,370,0,0,0,0,0,395,395,395,395,395,395,0,0,0,0
Angaston,ANGAS1,SA,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Angaston,ANGAS2,SA,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Bairnsdale,BDL01,VIC,27,27,27,27,27,27,27,27,27,27,36,36,36,36,36,36,36,36,36,36,44,44,44,44,44,44,44,44,44,44
Bairnsdale,BDL02,VIC,30,30,30,30,30,30,30,30,30,30,37,37,37,37,37,37,37,37,37,37,44,44,44,44,44,44,44,44,44,44
Barcaldine Power Station,BARCALDN,QLD,32,32,32,32,32,32,32,32,32,32,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37
Barker Inlet Power Station,BIPS1_01,SA,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Barker Inlet Power Station,BIPS1_02,SA,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Barker Inlet Power Station,BIPS1_03,SA,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Barker Inlet Power Station,BIPS1_04,SA,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Barker Inlet Power Station,BIPS1_05,SA,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Barker Inlet Power Station,BIPS1_06,SA,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Barker Inlet Power Station,BIPS1_07,SA,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Barker Inlet Power Station,BIPS1_08,SA,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Barker Inlet Power Station,BIPS1_09,SA,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Barker Inlet Power Station,BIPS1_10,SA,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Barker Inlet Power Station,BIPS1_11,SA,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Barker Inlet Power Station,BIPS1_12,SA,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Bell Bay Three,BBTHREE1,TAS,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Bell Bay Three,BBTHREE2,TAS,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Bell Bay Three,BBTHREE3,TAS,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Bolivar Power Station,BOLIVPS1_1,SA,24,24,24,24,24,24,24,24,24,24,27,27,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,31,31
Bolivar Power Station,BOLIVPS1_2,SA,24,24,24,24,24,24,24,24,24,24,27,27,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,31,31
Bolivar Power Station,BOLIVPS1_3,SA,24,24,24,24,24,24,24,24,24,24,27,27,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,31,31
Bolivar Power Station,BOLIVPS1_4,SA,24,24,24,24,24,24,24,24,24,24,27,27,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,31,31
Braemar,BRAEMAR1,QLD,167,167,167,167,167,167,167,167,167,167,173,173,173,173,173,173,173,173,173,173,181,181,181,181,181,181,181,181,181,181
Braemar,BRAEMAR2,QLD,167,167,167,167,167,167,167,167,167,167,173,173,173,173,173,173,173,173,173,173,181,181,181,181,181,181,181,181,181,181
Braemar,BRAEMAR3,QLD,167,167,167,167,167,167,167,167,167,167,173,173,173,173,173,173,173,173,173,173,181,181,181,181,181,181,181,181,181,181
Braemar 2 Power Station,BRAEMAR5,QLD,155,165,165,165,165,165,165,165,165,165,155,165,165,165,165,165,165,165,165,165,173,173,173,173,173,173,173,173,173,173
Braemar 2 Power Station,BRAEMAR6,QLD,155,165,165,165,165,165,165,165,165,165,155,165,165,165,165,165,165,165,165,165,173,173,173,173,173,173,173,173,173,173
Braemar 2 Power Station,BRAEMAR7,QLD,155,165,165,165,165,165,165,165,165,165,155,165,165,165,165,165,165,165,165,165,173,173,173,173,173,173,173,173,173,173
Colongra,CG1,NSW,160,160,160,160,160,160,160,160,160,160,170,170,170,170,170,170,170,170,170,170,181,181,181,181,181,181,181,181,181,181
Colongra,CG2,NSW,160,160,160,160,160,160,160,160,160,160,170,170,170,170,170,170,170,170,170,170,181,181,181,181,181,181,181,181,181,181
Colongra,CG3,NSW,160,160,160,160,160,160,160,160,160,160,170,170,170,170,170,170,170,170,170,170,181,181,181,181,181,181,181,181,181,181
Colongra,CG4,NSW,160,160,160,160,160,160,160,160,160,160,170,170,170,170,170,170,170,170,170,170,181,181,181,181,181,181,181,181,181,181
Condamine A,CPSA_GT1,QLD,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,44,44,44,44,44,44,44,44,44,44
Condamine A,CPSA_GT2,QLD,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,44,44,44,44,44,44,44,44,44,44
Condamine A,CPSA_ST,QLD,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56
Darling Downs,DDPS1_ST,QLD,245,245,245,245,245,245,245,245,245,245,252,252,252,252,252,252,252,252,252,252,273,273,273,273,273,273,273,273,273,273
Darling Downs,DDPS1_GT1,QLD,106,106,106,106,106,106,106,106,106,106,109,109,109,109,109,109,109,109,109,109,119,119,119,119,119,119,119,119,119,119
Darling Downs,DDPS1_GT2,QLD,106,106,106,106,106,106,106,106,106,106,109,109,109,109,109,109,109,109,109,109,119,119,119,119,119,119,119,119,119,119
Darling Downs,DDPS1_GT3,QLD,106,106,106,106,106,106,106,106,106,106,109,109,109,109,109,109,109,109,109,109,119,119,119,119,119,119,119,119,119,119
Dry Creek GT,DRYCGT1,SA,37,37,37,37,37,37,37,37,0,0,39,39,39,39,39,39,39,39,0,0,47,47,47,47,47,47,47,47,0,0
Dry Creek GT,DRYCGT2,SA,38,38,38,38,38,38,38,38,0,0,40,40,40,40,40,40,40,40,0,0,47,47,47,47,47,47,47,47,0,0
Dry Creek GT,DRYCGT3,SA,42,42,42,42,42,42,42,42,0,0,43,43,43,43,43,43,43,43,0,0,49,49,49,49,49,49,49,49,0,0
Hallett GT,AGLHAL01,SA,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,0,17,17,17,17,17,17,17,17,17
Hallett GT,AGLHAL02,SA,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,0,17,17,17,17,17,17,17,17,17
Hallett GT,AGLHAL03,SA,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Hallett GT,AGLHAL04,SA,0,15,15,15,15,15,15,15,15,15,0,15,15,15,15,15,15,15,15,15,0,16,16,16,16,16,16,16,16,16
Hallett GT,AGLHAL05,SA,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Hallett GT,AGLHAL06,SA,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15
Hallett GT,AGLHAL07,SA,20,20,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23
Hallett GT,AGLHAL08,SA,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,25,25,25,25,25,25,25,25,25,25
Hallett GT,AGLHAL09,SA,0,0,20,20,20,20,20,20,20,20,0,0,22,22,22,22,22,22,22,22,0,0,0,23,23,23,23,23,23,23
Hallett GT,AGLHAL10,SA,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16
Hallett GT,AGLHAL11,SA,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16
Hallett GT,AGLHAL12,SA,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16
Hallett GT,AGLHALRE,SA,30,30,30,30,30,30,30,30,30,30,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33
Jeeralang A,JLA01,VIC,47,47,47,47,47,47,47,47,47,47,50,50,50,50,50,50,50,50,50,50,56,56,56,56,56,56,56,56,56,56
Jeeralang A,JLA02,VIC,47,47,47,47,47,47,47,47,47,47,50,50,50,50,50,50,50,50,50,50,56,56,56,56,56,56,56,56,56,56
Jeeralang A,JLA03,VIC,47,47,47,47,47,47,47,47,47,47,50,50,50,50,50,50,50,50,50,50,55,55,55,55,55,55,55,55,55,55
