Batteries,Technology type,Region,Sub-region,REZ location,Status,Regional build cost zone,Fuel type,Fuel cost mapping,Summer rating (MW),Winter rating (MW),Forced outage rate - Full outage (% of time) Until 2022,Forced outage rate - Full outage (% of time) Post 2022,Forced outage rate - Partial outage (% of time) Until 2022,Forced outage rate - Partial outage (% of time) Post 2022,Mean time to repair - Full outage Until 2022,Mean time to repair - Full outage Post 2022,Mean time to repair - Partial outage Until 2022,Mean time to repair - Partial outage Post 2022,Maintenance duration (%),Minimum load (MW),Maximum capacity factor (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat rate,MLF,Auxiliary load (%)
Broken Hill BESS,Battery Storage,NSW,SNSW,Broken Hill,Committed,,Battery,Battery,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,,,All Battery storage (1hr storage),All Battery storage (1hr storage),,Broken Hill BESS,Battery Storage
Dalrymple BESS,Battery Storage,SA,CSA,Yorke Peninsula,Existing,,Battery,Battery,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,,,All Battery storage (1hr storage),All Battery storage (1hr storage),,Dalrymple BESS,Battery Storage
Darlington Point Energy Storage System,Battery Storage,NSW,SNSW,,Committed,,Battery,Battery,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,,,All Battery storage (2hrs storage),All Battery storage (2hrs storage),,Darlington Point Energy Storage System,Battery Storage
Eraring Big Battery,Battery Storage,NSW,SNW,Hunter Central Coast,Anticipated,,Battery,Battery,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,,,All Battery storage (2hrs storage),All Battery storage (2hrs storage),,Eraring Big Battery,Battery Storage
Gannawarra Energy Storage System,Battery Storage,VIC,VIC,Murray River,Existing,,Battery,Battery,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,,,All Battery storage (2hrs storage),All Battery storage (2hrs storage),,Gannawarra Energy Storage System,Battery Storage
Gnarwarre BESS,Battery Storage,VIC,VIC,South West Victoria,Anticipated,,Battery,Battery,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,,,All Battery storage (2hrs storage),All Battery storage (2hrs storage),,Gnarwarre BESS,Battery Storage
Koorangie Energy Storage System,Battery Storage,VIC,VIC,Murray River,Anticipated,,Battery,Battery,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,,,All Battery storage (2hrs storage),All Battery storage (2hrs storage),,Koorangie Energy Storage System,Battery Storage
Liddell BESS,Battery Storage,NSW,CNSW,Hunter-Central Coast,Anticipated,,Battery,Battery,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,,,All Battery storage (4hrs storage),All Battery storage (4hrs storage),,Liddell BESS,Battery Storage
Lockhart Hybrid Facility - Battery,Battery Storage,NSW,SNSW,Wagga Wagga,Anticipated,,Battery,Battery,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,,,All Battery storage (2hrs storage),All Battery storage (2hrs storage),,Lockhart Hybrid Facility - Battery,Battery Storage
Sapphire Wind Farm BESS,Battery Storage,NSW,NNSW,New England,Anticipated,,Battery,Battery,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,,,All Battery storage (1hr storage),All Battery storage (1hr storage),,Sapphire Wind Farm BESS,Battery Storage
Limondale BESS,Battery Storage,NSW,SNSW,South West NSW,Additional projects,,Battery,Battery,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,,,All Battery storage (8hrs storage),All Battery storage (8hrs storage),,Limondale BESS,Battery Storage
Silver City Energy Storage,Battery Storage,NSW,SNSW,Broken Hill,Additional projects,,Battery,Battery,Silver City Energy Storage,Silver City Energy Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,,,All Battery storage (8hrs storage),All Battery storage (8hrs storage),,Silver City Energy Storage,Battery Storage
Derby Solar Project BESS,Battery Storage,VIC,VIC,Murray River,Additional projects,,Battery,Battery,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,,,All Battery storage (2hrs storage),All Battery storage (2hrs storage),,Derby Solar Project BESS,Battery Storage
Kiamal Solar Farm – Stage 2 BESS,Battery Storage,VIC,VIC,Murray River,Additional projects,,Battery,Battery,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,Battery Storage,,,All Battery storage (2hrs storage),All Battery storage (2hrs storage),,Kiamal Solar Farm – Stage 2 BESS,Battery Storage
