Plain Name,Bus0,Bus1,Max or Min,Capability,Date From,Date To,Day Type
VIC-SNSW,VIC,SNSW,Max Flow,2935,1/07/2032,30/06/2053,NSW Winter
VIC-SNSW,VIC,SNSW,Max Flow,2935,1/07/2032,30/06/2053,NSW Typical Summer
VIC-SNSW,VIC,SNSW,Max Flow,2805,1/07/2032,30/06/2053,NSW Hot Day
VIC-SNSW,VIC,SNSW,Max Flow,2935,1/12/2029,1/07/2032,NSW Winter
VIC-SNSW,VIC,SNSW,Max Flow,2935,1/12/2029,1/07/2032,NSW Typical Summer
VIC-SNSW,VIC,SNSW,Max Flow,2805,1/12/2029,1/07/2032,NSW Hot Day
VIC-SNSW,VIC,SNSW,Max Flow,1000,1/07/2024,1/12/2029,NSW Winter
VIC-SNSW,VIC,SNSW,Max Flow,1000,1/07/2024,1/12/2029,NSW Typical Summer
VIC-SNSW,VIC,SNSW,Max Flow,870,1/07/2024,1/12/2029,NSW Hot Day
VIC-SESA Heywood,VIC,SESA,Max Flow,750,1/07/2027,30/06/2053,SA Winter
VIC-SESA Heywood,VIC,SESA,Max Flow,750,1/07/2027,30/06/2053,SA Typical Summer
VIC-SESA Heywood,VIC,SESA,Max Flow,750,1/07/2027,30/06/2053,SA Hot Day
VIC-SESA Heywood,VIC,SESA,Max Flow,650,1/07/2024,1/07/2027,SA Winter
VIC-SESA Heywood,VIC,SESA,Max Flow,650,1/07/2024,1/07/2027,SA Typical Summer
VIC-SESA Heywood,VIC,SESA,Max Flow,650,1/07/2024,1/07/2027,SA Hot Day
VIC-CSA Murraylink,VIC,CSA,Max Flow,220,1/07/2024,30/06/2053,SA Winter
VIC-CSA Murraylink,VIC,CSA,Max Flow,220,1/07/2024,30/06/2053,SA Typical Summer
VIC-CSA Murraylink,VIC,CSA,Max Flow,220,1/07/2024,30/06/2053,SA Hot Day
NNSW-SQ QNI,NNSW,SQ,Max Flow,2005,1/07/2034,30/06/2053,QLD Winter
NNSW-SQ QNI,NNSW,SQ,Max Flow,2005,1/07/2034,30/06/2053,QLD Typical Summer
NNSW-SQ QNI,NNSW,SQ,Max Flow,1945,1/07/2034,30/06/2053,QLD Hot Day
NNSW-SQ QNI,NNSW,SQ,Max Flow,745,1/07/2024,1/07/2034,QLD Winter
NNSW-SQ QNI,NNSW,SQ,Max Flow,745,1/07/2024,1/07/2034,QLD Typical Summer
NNSW-SQ QNI,NNSW,SQ,Max Flow,685,1/07/2024,1/07/2034,QLD Hot Day
NNSW-SQ Terranora,NNSW,SQ,Max Flow,50,1/07/2024,30/06/2053,QLD Winter
NNSW-SQ Terranora,NNSW,SQ,Max Flow,50,1/07/2024,30/06/2053,QLD Typical Summer
NNSW-SQ Terranora,NNSW,SQ,Max Flow,0,1/07/2024,30/06/2053,QLD Hot Day
CSA-SNSW EnergyConnect,CSA,SNSW,Max Flow,800,1/07/2027,30/06/2053,SA Winter
CSA-SNSW EnergyConnect,CSA,SNSW,Max Flow,800,1/07/2027,30/06/2053,SA Typical Summer
CSA-SNSW EnergyConnect,CSA,SNSW,Max Flow,800,1/07/2027,30/06/2053,SA Hot Day
CSA-SNSW EnergyConnect,CSA,SNSW,Max Flow,500,1/03/2027,1/07/2027,SA Winter
CSA-SNSW EnergyConnect,CSA,SNSW,Max Flow,500,1/03/2027,1/07/2027,SA Typical Summer
CSA-SNSW EnergyConnect,CSA,SNSW,Max Flow,500,1/03/2027,1/07/2027,SA Hot Day
CSA-SNSW EnergyConnect,CSA,SNSW,Max Flow,150,30/11/2024,1/03/2027,SA Winter
CSA-SNSW EnergyConnect,CSA,SNSW,Max Flow,150,30/11/2024,1/03/2027,SA Typical Summer
CSA-SNSW EnergyConnect,CSA,SNSW,Max Flow,150,30/11/2024,1/03/2027,SA Hot Day
CSA-SNSW EnergyConnect,CSA,SNSW,Max Flow,0,1/07/2024,30/11/2024,SA Winter
CSA-SNSW EnergyConnect,CSA,SNSW,Max Flow,0,1/07/2024,30/11/2024,SA Typical Summer
CSA-SNSW EnergyConnect,CSA,SNSW,Max Flow,0,1/07/2024,30/11/2024,SA Hot Day
TAS-VIC Basslink,TAS,VIC,Max Flow,594,1/07/2024,30/06/2053,VIC Hot Day
TAS-VIC Basslink,TAS,VIC,Max Flow,594,1/07/2024,30/06/2053,VIC Typical Summer
TAS-VIC Basslink,TAS,VIC,Max Flow,594,1/07/2024,30/06/2053,VIC Winter
TAS-VIC Marinuslink,TAS,VIC,Max Flow,750,1/12/2030,1/07/2037,VIC Hot Day
TAS-VIC Marinuslink,TAS,VIC,Max Flow,750,1/12/2030,1/07/2037,VIC Typical Summer
TAS-VIC Marinuslink,TAS,VIC,Max Flow,750,1/12/2030,1/07/2037,VIC Winter
TAS-VIC Marinuslink,TAS,VIC,Max Flow,750,1/07/2037,30/06/2053,VIC Hot Day
TAS-VIC Marinuslink,TAS,VIC,Max Flow,750,1/07/2037,30/06/2053,VIC Typical Summer
TAS-VIC Marinuslink,TAS,VIC,Max Flow,750,1/07/2037,30/06/2053,VIC Winter
TAS-VIC Marinuslink,TAS,VIC,Max Flow,0,1/07/2024,1/07/2037,VIC Hot Day
TAS-VIC Marinuslink,TAS,VIC,Max Flow,0,1/07/2024,1/07/2037,VIC Typical Summer
TAS-VIC Marinuslink,TAS,VIC,Max Flow,0,1/07/2024,1/07/2037,VIC Winter
VIC-SNSW,VIC,SNSW,Min Flow,-2069,1/07/2032,30/06/2053,VIC Winter
VIC-SNSW,VIC,SNSW,Min Flow,-2069,1/07/2032,30/06/2053,VIC Typical Summer
VIC-SNSW,VIC,SNSW,Min Flow,-1919,1/07/2032,30/06/2053,VIC Hot Day
VIC-SNSW,VIC,SNSW,Min Flow,-2069,1/12/2029,1/07/2032,VIC Winter
VIC-SNSW,VIC,SNSW,Min Flow,-2069,1/12/2029,1/07/2032,VIC Typical Summer
VIC-SNSW,VIC,SNSW,Min Flow,-2069,1/12/2029,1/07/2032,VIC Hot Day
VIC-SNSW,VIC,SNSW,Min Flow,-400,1/07/2024,1/12/2029,VIC Winter
VIC-SNSW,VIC,SNSW,Min Flow,-400,1/07/2024,1/12/2029,VIC Typical Summer
VIC-SNSW,VIC,SNSW,Min Flow,-400,1/07/2024,1/12/2029,VIC Hot Day
VIC-SESA Heywood,VIC,SESA,Min Flow,-750,1/07/2027,30/06/2053,VIC Winter
VIC-SESA Heywood,VIC,SESA,Min Flow,-750,1/07/2027,30/06/2053,VIC Typical Summer
VIC-SESA Heywood,VIC,SESA,Min Flow,-750,1/07/2027,30/06/2053,VIC Hot Day
VIC-SESA Heywood,VIC,SESA,Min Flow,-650,1/07/2024,1/07/2027,VIC Winter
VIC-SESA Heywood,VIC,SESA,Min Flow,-650,1/07/2024,1/07/2027,VIC Typical Summer
VIC-SESA Heywood,VIC,SESA,Min Flow,-650,1/07/2024,1/07/2027,VIC Hot Day
VIC-CSA Murraylink,VIC,CSA,Min Flow,-200,1/07/2024,30/06/2053,VIC Winter
VIC-CSA Murraylink,VIC,CSA,Min Flow,-200,1/07/2024,30/06/2053,VIC Typical Summer
VIC-CSA Murraylink,VIC,CSA,Min Flow,-100,1/07/2024,30/06/2053,VIC Hot Day
NNSW-SQ QNI,NNSW,SQ,Min Flow,-2870,1/07/2034,30/06/2053,NSW Winter
NNSW-SQ QNI,NNSW,SQ,Min Flow,-2865,1/07/2034,30/06/2053,NSW Typical Summer
NNSW-SQ QNI,NNSW,SQ,Min Flow,-2905,1/07/2034,30/06/2053,NSW Hot Day
NNSW-SQ QNI,NNSW,SQ,Min Flow,-1170,1/07/2024,1/07/2034,NSW Winter
NNSW-SQ QNI,NNSW,SQ,Min Flow,-1165,1/07/2024,1/07/2034,NSW Typical Summer
NNSW-SQ QNI,NNSW,SQ,Min Flow,-1205,1/07/2024,1/07/2034,NSW Hot Day
NNSW-SQ Terranora,NNSW,SQ,Min Flow,-200,1/07/2024,30/06/2053,NSW Winter
NNSW-SQ Terranora,NNSW,SQ,Min Flow,-150,1/07/2024,30/06/2053,NSW Typical Summer
NNSW-SQ Terranora,NNSW,SQ,Min Flow,-130,1/07/2024,30/06/2053,NSW Hot Day
