Plain Name,Bus0,Bus1,Max or Min,Capability,Date From,Date To,Day Type
CNSW-NNSW,CNSW,NNSW,Max Flow,910,1/07/2024,1/09/2028,NSW Hot Day
CNSW-NNSW,CNSW,NNSW,Max Flow,910,1/07/2024,1/09/2028,NSW Typical Summer
CNSW-NNSW,CNSW,NNSW,Max Flow,910,1/07/2024,1/09/2028,NSW Winter
CNSW-NNSW,CNSW,NNSW,Max Flow,3910,1/09/2028,1/07/2030,NSW Hot Day
CNSW-NNSW,CNSW,NNSW,Max Flow,3910,1/09/2028,1/07/2030,NSW Typical Summer
CNSW-NNSW,CNSW,NNSW,Max Flow,3910,1/09/2028,1/07/2030,NSW Winter
CNSW-NNSW,CNSW,NNSW,Max Flow,3910,1/07/2030,1/07/2034,NSW Hot Day
CNSW-NNSW,CNSW,NNSW,Max Flow,3910,1/07/2030,1/07/2034,NSW Typical Summer
CNSW-NNSW,CNSW,NNSW,Max Flow,3910,1/07/2030,1/07/2034,NSW Winter
CNSW-NNSW,CNSW,NNSW,Max Flow,6910,1/07/2034,30/06/2053,NSW Hot Day
CNSW-NNSW,CNSW,NNSW,Max Flow,6910,1/07/2034,30/06/2053,NSW Typical Summer
CNSW-NNSW,CNSW,NNSW,Max Flow,6910,1/07/2034,30/06/2053,NSW Winter
CNSW-SNW,CNSW,SNW,Max Flow,7030,1/07/2024,1/07/2025,NSW Hot Day
CNSW-SNW,CNSW,SNW,Max Flow,7030,1/07/2024,1/07/2025,NSW Typical Summer
CNSW-SNW,CNSW,SNW,Max Flow,7450,1/07/2024,1/07/2025,NSW Winter
CNSW-SNW,CNSW,SNW,Max Flow,7940,1/07/2025,1/12/2028,NSW Hot Day
CNSW-SNW,CNSW,SNW,Max Flow,7940,1/07/2025,1/12/2028,NSW Typical Summer
CNSW-SNW,CNSW,SNW,Max Flow,8360,1/07/2025,1/12/2028,NSW Winter
CNSW-SNW,CNSW,SNW,Max Flow,12940,1/12/2028,1/07/2029,NSW Hot Day
CNSW-SNW,CNSW,SNW,Max Flow,12940,1/12/2028,1/07/2029,NSW Typical Summer
CNSW-SNW,CNSW,SNW,Max Flow,13360,1/12/2028,1/07/2029,NSW Winter
CNSW-SNW,CNSW,SNW,Max Flow,12940,1/07/2029,1/07/2029,NSW Hot Day
CNSW-SNW,CNSW,SNW,Max Flow,12940,1/07/2029,1/07/2029,NSW Typical Summer
CNSW-SNW,CNSW,SNW,Max Flow,13360,1/07/2029,1/07/2029,NSW Winter
CNSW-SNW,CNSW,SNW,Max Flow,12280,1/07/2030,30/06/2053,NSW Hot Day
CNSW-SNW,CNSW,SNW,Max Flow,12280,1/07/2030,30/06/2053,NSW Typical Summer
CNSW-SNW,CNSW,SNW,Max Flow,12700,1/07/2030,30/06/2053,NSW Winter
CQ-GG,CQ,GG,Max Flow,700,1/07/2024,1/07/2030,QLD Hot Day
CQ-GG,CQ,GG,Max Flow,700,1/07/2024,1/07/2030,QLD Typical Summer
CQ-GG,CQ,GG,Max Flow,1050,1/07/2024,1/07/2030,QLD Winter
CQ-GG,CQ,GG,Max Flow,3300,1/07/2030,30/06/2053,QLD Hot Day
CQ-GG,CQ,GG,Max Flow,3300,1/07/2030,30/06/2053,QLD Typical Summer
CQ-GG,CQ,GG,Max Flow,3650,1/07/2030,30/06/2053,QLD Winter
CQ-NQ,CQ,NQ,Max Flow,1200,1/07/2024,1/07/2044,QLD Hot Day
CQ-NQ,CQ,NQ,Max Flow,1200,1/07/2024,1/07/2044,QLD Typical Summer
CQ-NQ,CQ,NQ,Max Flow,1400,1/07/2024,1/07/2044,QLD Winter
CQ-NQ,CQ,NQ,Max Flow,2300,1/07/2044,30/06/2053,QLD Hot Day
CQ-NQ,CQ,NQ,Max Flow,2300,1/07/2044,30/06/2053,QLD Typical Summer
CQ-NQ,CQ,NQ,Max Flow,2500,1/07/2044,30/06/2053,QLD Winter
SESA-CSA,SESA,CSA,Max Flow,650,1/07/2024,1/07/2027,SA Hot Day
SESA-CSA,SESA,CSA,Max Flow,650,1/07/2024,1/07/2027,SA Typical Summer
SESA-CSA,SESA,CSA,Max Flow,650,1/07/2024,1/07/2027,SA Winter
SESA-CSA,SESA,CSA,Max Flow,750,1/07/2027,30/06/2053,SA Hot Day
SESA-CSA,SESA,CSA,Max Flow,750,1/07/2027,30/06/2053,SA Typical Summer
SESA-CSA,SESA,CSA,Max Flow,750,1/07/2027,30/06/2053,SA Winter
SNSW-CNSW,SNSW,CNSW,Max Flow,2700,1/07/2024,1/07/2025,NSW Hot Day
SNSW-CNSW,SNSW,CNSW,Max Flow,2700,1/07/2024,1/07/2025,NSW Typical Summer
