Technology type,Cost scenario,Candidate REZ,Sub-region,Cost zone,Locational cost factor,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54
OCGT (small GT),Step Change,,NQ,NQ,108.0%,2668,2668,2668,2604,2474,2280,2086,1892,1765,1704,1711,1716,1723,1728,1735,1741,1748,1752,1756,1761,1765,1769,1773,1778,1782,1785,1790,1794,1797,1800 
OCGT (small GT),Step Change,,CQ,CQ,110.4%,2726,2726,2726,2661,2529,2330,2131,1934,1803,1742,1748,1754,1760,1766,1773,1779,1786,1790,1795,1799,1803,1808,1812,1817,1821,1824,1829,1833,1837,1840 
OCGT (small GT),Step Change,,GG,GG,107.2%,2647,2647,2647,2584,2455,2262,2069,1877,1751,1691,1697,1703,1709,1714,1721,1727,1734,1738,1742,1747,1751,1755,1760,1764,1768,1771,1776,1780,1783,1786 
OCGT (small GT),Step Change,,SQ,SQ,100.0%,2470,2470,2470,2411,2291,2111,1931,1752,1634,1578,1584,1589,1595,1600,1606,1612,1618,1622,1626,1630,1634,1638,1642,1646,1650,1653,1657,1661,1664,1667 
OCGT (small GT),Step Change,,NNSW,NNSW,106.1%,2620,2620,2620,2557,2430,2239,2048,1858,1733,1674,1680,1685,1692,1697,1703,1710,1716,1720,1725,1729,1733,1737,1742,1746,1750,1753,1758,1762,1765,1768 
OCGT (small GT),Step Change,,CNSW,CNSW,103.6%,2559,2559,2559,2498,2374,2187,2001,1815,1693,1635,1641,1646,1652,1658,1664,1670,1676,1680,1685,1689,1693,1697,1701,1705,1709,1713,1717,1721,1724,1727 
OCGT (small GT),Step Change,,SNSW,SNSW,100.7%,2486,2486,2486,2427,2306,2125,1944,1764,1645,1589,1595,1600,1606,1611,1617,1623,1629,1633,1637,1641,1645,1649,1653,1657,1661,1664,1668,1672,1675,1678 
OCGT (small GT),Step Change,,SNW,SNW,100.0%,2470,2470,2470,2411,2291,2111,1931,1752,1634,1578,1584,1589,1595,1600,1606,1612,1618,1622,1626,1630,1634,1638,1642,1646,1650,1653,1657,1661,1664,1667 
OCGT (small GT),Step Change,,WNV,WNV,100.0%,2470,2470,2470,2411,2291,2111,1931,1752,1634,1578,1584,1589,1595,1600,1606,1612,1618,1622,1626,1630,1634,1638,1642,1646,1650,1653,1657,1661,1664,1667 
OCGT (small GT),Step Change,,MEL,MEL,100.0%,2470,2470,2470,2411,2291,2111,1931,1752,1634,1578,1584,1589,1595,1600,1606,1612,1618,1622,1626,1630,1634,1638,1642,1646,1650,1653,1657,1661,1664,1667 
