Generator,Status,Region,Fuel type,REZ/Sub-region,Fuel cost mapping,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54,2054-55
BW01,Existing,NSW,Black Coal,Not Applicable,Bayswater,4.12,3.83,3.75,4.28,4.35,3.93,3.84,3.75,3.67,3.57,3.48,3.40,3.31,3.23,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18 
BW02,Existing,NSW,Black Coal,Not Applicable,Bayswater,4.12,3.83,3.75,4.28,4.35,3.93,3.84,3.75,3.67,3.57,3.48,3.40,3.31,3.23,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18 
BW03,Existing,NSW,Black Coal,Not Applicable,Bayswater,4.12,3.83,3.75,4.28,4.35,3.93,3.84,3.75,3.67,3.57,3.48,3.40,3.31,3.23,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18 
BW04,Existing,NSW,Black Coal,Not Applicable,Bayswater,4.12,3.83,3.75,4.28,4.35,3.93,3.84,3.75,3.67,3.57,3.48,3.40,3.31,3.23,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18,3.18 
CALL_B_1,Existing,QLD,Black Coal,Not Applicable,Callide B,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32 
CALL_B_2,Existing,QLD,Black Coal,Not Applicable,Callide B,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32 
CPP_3,Existing,QLD,Black Coal,Not Applicable,Callide C,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32 
CPP_4,Existing,QLD,Black Coal,Not Applicable,Callide C,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32 
ER01,Existing,NSW,Black Coal,Not Applicable,Eraring,7.02,6.35,5.69,5.03,4.37,3.99,3.91,3.82,3.74,3.65,3.56,3.48,3.39,3.31,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27 
ER02,Existing,NSW,Black Coal,Not Applicable,Eraring,7.02,6.35,5.69,5.03,4.37,3.99,3.91,3.82,3.74,3.65,3.56,3.48,3.39,3.31,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27 
ER03,Existing,NSW,Black Coal,Not Applicable,Eraring,7.02,6.35,5.69,5.03,4.37,3.99,3.91,3.82,3.74,3.65,3.56,3.48,3.39,3.31,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27 
ER04,Existing,NSW,Black Coal,Not Applicable,Eraring,7.02,6.35,5.69,5.03,4.37,3.99,3.91,3.82,3.74,3.65,3.56,3.48,3.39,3.31,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27 
GSTONE1,Existing,QLD,Black Coal,Not Applicable,Gladstone,6.36,5.79,5.22,4.65,4.12,3.86,3.81,3.77,3.72,3.68,3.63,3.58,3.53,3.49,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46 
GSTONE2,Existing,QLD,Black Coal,Not Applicable,Gladstone,6.36,5.79,5.22,4.65,4.12,3.86,3.81,3.77,3.72,3.68,3.63,3.58,3.53,3.49,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46 
GSTONE3,Existing,QLD,Black Coal,Not Applicable,Gladstone,6.36,5.79,5.22,4.65,4.12,3.86,3.81,3.77,3.72,3.68,3.63,3.58,3.53,3.49,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46 
GSTONE4,Existing,QLD,Black Coal,Not Applicable,Gladstone,6.36,5.79,5.22,4.65,4.12,3.86,3.81,3.77,3.72,3.68,3.63,3.58,3.53,3.49,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46 
GSTONE5,Existing,QLD,Black Coal,Not Applicable,Gladstone,6.36,5.79,5.22,4.65,4.12,3.86,3.81,3.77,3.72,3.68,3.63,3.58,3.53,3.49,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46 
GSTONE6,Existing,QLD,Black Coal,Not Applicable,Gladstone,6.36,5.79,5.22,4.65,4.12,3.86,3.81,3.77,3.72,3.68,3.63,3.58,3.53,3.49,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46 
KPP_1,Existing,QLD,Black Coal,Not Applicable,Kogan Creek,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32 
MPP_1,Existing,QLD,Black Coal,Not Applicable,Millmerran,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06 
MPP_2,Existing,QLD,Black Coal,Not Applicable,Millmerran,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06 
MP1,Existing,NSW,Black Coal,Not Applicable,Mt Piper,7.22,6.57,5.91,5.25,4.60,4.28,4.24,4.15,4.06,3.98,3.90,3.81,3.73,3.65,3.55,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51 
MP2,Existing,NSW,Black Coal,Not Applicable,Mt Piper,7.22,6.57,5.91,5.25,4.60,4.28,4.24,4.15,4.06,3.98,3.90,3.81,3.73,3.65,3.55,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51 
STAN-1,Existing,QLD,Black Coal,Not Applicable,Stanwell,4.96,6.50,5.75,5.01,4.28,3.86,3.78,3.70,3.60,3.52,3.43,3.35,3.26,3.18,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14 
STAN-2,Existing,QLD,Black Coal,Not Applicable,Stanwell,4.96,6.50,5.75,5.01,4.28,3.86,3.78,3.70,3.60,3.52,3.43,3.35,3.26,3.18,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14 
STAN-3,Existing,QLD,Black Coal,Not Applicable,Stanwell,4.96,6.50,5.75,5.01,4.28,3.86,3.78,3.70,3.60,3.52,3.43,3.35,3.26,3.18,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14 
STAN-4,Existing,QLD,Black Coal,Not Applicable,Stanwell,4.96,6.50,5.75,5.01,4.28,3.86,3.78,3.70,3.60,3.52,3.43,3.35,3.26,3.18,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14,3.14 
TARONG#1,Existing,QLD,Black Coal,Not Applicable,Tarong,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86 
