IASR ID,Power Station,Technology Type,Region,Sub-region,REZ Location,REZ ID,Status,Regional build cost zone,Maximum capacity (MW),Storage capacity (MWh),SP2025-26,ST2032-33,W2033,Minimum Stable Limit,No-Load  Heat Rate,Marginal Heat Rate,Pumping efficiency (%),Charge efficiency (%),Discharge efficiency (%),Allowable max state of charge (%),Allowable min state of charge (%),Round trip efficiency (%),Annual degradation (%),Max Ramp Up (MW/min),Max Ramp Down (MW/min),Maintenance - Proportion of time out (%),Maintenance - Equivalent average days per year on planned outage,Full outage (% of time),Partial outage (% of time),Full outage MTTR (hrs),Partial outage MTTR (hrs),Partial Outage Derating Factor (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat rate (GJ/MWh HHV s.o.),Fuel cost ($/GJ),Scope 1 Emissions (kg/MWh),MLF,Auxiliary load (% of nameplate capacity),SRMC ($/MWh),Expected Closure Year (Calendar year),Retirement / Rehabilitation cost ($/MW),Fault Level Replacement Cost ($M)
BW01,Bayswater,Steam Sub Critical,NSW,CNSW,Not Applicable,Not Applicable,Existing,Not Applicable,660,,630,660,660,170,540.00,9.23,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,5.33%,30.52%,148.7062284,27.53229991,18.65%,28.00,8.00,10.05,4.12,581.35,0.96,5.48,49.46,2033,254000,112.70
BW02,Bayswater,Steam Sub Critical,NSW,CNSW,Not Applicable,Not Applicable,Existing,Not Applicable,685,,655,685,685,170,540.00,9.26,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,5.33%,30.52%,148.7062284,27.53229991,18.65%,28.00,8.00,10.05,4.12,581.35,0.96,5.48,49.46,2033,254000,116.97
BW03,Bayswater,Steam Sub Critical,NSW,CNSW,Not Applicable,Not Applicable,Existing,Not Applicable,685,,655,685,685,170,540.00,9.26,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,5.33%,30.52%,148.7062284,27.53229991,18.65%,28.00,8.00,10.05,4.12,581.35,0.96,5.48,49.46,2033,254000,116.97
BW04,Bayswater,Steam Sub Critical,NSW,CNSW,Not Applicable,Not Applicable,Existing,Not Applicable,685,,655,685,685,170,540.00,9.26,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,5.33%,30.52%,148.7062284,27.53229991,18.65%,28.00,8.00,10.05,4.12,581.35,0.96,5.48,49.46,2033,254000,116.97
CALL_B_1,Callide B,Steam Sub Critical,QLD,CQ,Not Applicable,Not Applicable,Existing,Not Applicable,350,,325,0,0,140,504.00,8.63,not found,not found,not found,not found,not found,not found,not found,4,4,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,38.00,7.00,10.07,3.32,619.11,0.93,6.67,40.42,2031,254000,59.77
CALL_B_2,Callide B,Steam Sub Critical,QLD,CQ,Not Applicable,Not Applicable,Existing,Not Applicable,350,,325,0,0,140,504.00,8.63,not found,not found,not found,not found,not found,not found,not found,4,4,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,38.00,7.00,10.07,3.32,619.11,0.93,6.67,40.42,2031,254000,59.77
CPP_3,Callide C,Steam Super Critical,QLD,CQ,Not Applicable,Not Applicable,Existing,Not Applicable,424,,434,466,466,170,612.00,8.45,not found,not found,not found,not found,not found,not found,not found,4,4,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,52.00,8.00,9.90,3.32,570.49,0.92,6.67,40.85,2051,247000,72.40
CPP_4,Callide C,Steam Super Critical,QLD,CQ,Not Applicable,Not Applicable,Existing,Not Applicable,420,,434,466,466,126,453.60,8.82,not found,not found,not found,not found,not found,not found,not found,4,4,5.48,20.00,9.27%,20.44%,153.2102879,49.09239354,26.86%,52.00,8.00,9.90,3.32,570.49,0.92,6.67,40.85,2051,247000,71.72
ER01,Eraring,Steam Sub Critical,NSW,SNW,Not Applicable,Not Applicable,Existing,Not Applicable,720,,660,0,0,180,648.00,9.26,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,5.33%,30.52%,148.7062284,27.53229991,18.65%,28.00,8.00,10.16,7.02,572.62,0.98,5.48,79.27,2027,254000,122.95
ER02,Eraring,Steam Sub Critical,NSW,SNW,Not Applicable,Not Applicable,Existing,Not Applicable,720,,660,0,0,180,648.00,9.26,not found,not found,not found,not found,not found,not found,not found,5,5,5.48,20.00,5.33%,30.52%,148.7062284,27.53229991,18.65%,28.00,8.00,10.16,7.02,572.62,0.98,5.48,79.27,2027,254000,122.95
