Generator,Status,Region,Fuel type,REZ/Sub-region,Fuel cost mapping,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54,2054-55
NQ OCGT Small,New Entrant,QLD,Gas,Not Applicable,QLD new OCGT,15.05,14.02,14.51,15.17,14.65,13.48,13.47,13.42,13.39,13.03,12.51,12.48,11.64,12.38,12.60,12.03,11.54,11.92,12.25,12.41,13.34,14.17,13.86,14.30,14.53,14.64,14.72,14.74,14.74,14.74 
CQ OCGT Small,New Entrant,QLD,Gas,Not Applicable,QLD new OCGT,15.05,14.02,14.51,15.17,14.65,13.48,13.47,13.42,13.39,13.03,12.51,12.48,11.64,12.38,12.60,12.03,11.54,11.92,12.25,12.41,13.34,14.17,13.86,14.30,14.53,14.64,14.72,14.74,14.74,14.74 
GG OCGT Small,New Entrant,QLD,Gas,Not Applicable,QLD new OCGT,15.05,14.02,14.51,15.17,14.65,13.48,13.47,13.42,13.39,13.03,12.51,12.48,11.64,12.38,12.60,12.03,11.54,11.92,12.25,12.41,13.34,14.17,13.86,14.30,14.53,14.64,14.72,14.74,14.74,14.74 
SQ OCGT Small,New Entrant,QLD,Gas,Not Applicable,QLD new OCGT,15.05,14.02,14.51,15.17,14.65,13.48,13.47,13.42,13.39,13.03,12.51,12.48,11.64,12.38,12.60,12.03,11.54,11.92,12.25,12.41,13.34,14.17,13.86,14.30,14.53,14.64,14.72,14.74,14.74,14.74 
NNSW OCGT Small,New Entrant,NSW,Gas,Not Applicable,NSW new OCGT,18.86,15.06,15.41,14.97,14.09,13.37,13.46,13.24,14.20,13.84,14.11,14.26,14.28,14.26,14.84,14.43,14.67,14.58,15.50,15.54,15.74,15.99,16.17,16.25,16.39,16.46,16.49,16.49,16.48,16.46 
CNSW OCGT Small,New Entrant,NSW,Gas,Not Applicable,NSW new OCGT,18.86,15.06,15.41,14.97,14.09,13.37,13.46,13.24,14.20,13.84,14.11,14.26,14.28,14.26,14.84,14.43,14.67,14.58,15.50,15.54,15.74,15.99,16.17,16.25,16.39,16.46,16.49,16.49,16.48,16.46 
SNW OCGT Small,New Entrant,NSW,Gas,Not Applicable,NSW new OCGT,18.86,15.06,15.41,14.97,14.09,13.37,13.46,13.24,14.20,13.84,14.11,14.26,14.28,14.26,14.84,14.43,14.67,14.58,15.50,15.54,15.74,15.99,16.17,16.25,16.39,16.46,16.49,16.49,16.48,16.46 
WOO OCGT Small,New Entrant,NSW,Gas,Not Applicable,NSW new OCGT,18.86,15.06,15.41,14.97,14.09,13.37,13.46,13.24,14.20,13.84,14.11,14.26,14.28,14.26,14.84,14.43,14.67,14.58,15.50,15.54,15.74,15.99,16.17,16.25,16.39,16.46,16.49,16.49,16.48,16.46 
SNSW OCGT Small,New Entrant,NSW,Gas,Not Applicable,NSW new OCGT,18.86,15.06,15.41,14.97,14.09,13.37,13.46,13.24,14.20,13.84,14.11,14.26,14.28,14.26,14.84,14.43,14.67,14.58,15.50,15.54,15.74,15.99,16.17,16.25,16.39,16.46,16.49,16.49,16.48,16.46 
MEL OCGT Small,New Entrant,VIC,Gas,Not Applicable,VIC new OCGT,18.66,15.07,15.85,15.38,14.40,13.60,14.07,14.16,15.22,14.92,14.81,14.98,14.98,15.01,15.62,15.16,15.33,15.26,16.25,16.24,16.42,16.65,16.79,16.81,16.93,16.98,17.00,16.99,16.97,16.95 
SEV OCGT Small,New Entrant,VIC,Gas,Not Applicable,VIC new OCGT,18.66,15.07,15.85,15.38,14.40,13.60,14.07,14.16,15.22,14.92,14.81,14.98,14.98,15.01,15.62,15.16,15.33,15.26,16.25,16.24,16.42,16.65,16.79,16.81,16.93,16.98,17.00,16.99,16.97,16.95 
WNV OCGT Small,New Entrant,VIC,Gas,Not Applicable,VIC new OCGT,18.66,15.07,15.85,15.38,14.40,13.60,14.07,14.16,15.22,14.92,14.81,14.98,14.98,15.01,15.62,15.16,15.33,15.26,16.25,16.24,16.42,16.65,16.79,16.81,16.93,16.98,17.00,16.99,16.97,16.95 
CSA OCGT Small,New Entrant,SA,Gas,Not Applicable,SA new OCGT,17.30,14.47,15.06,14.70,13.83,13.01,12.95,12.85,13.94,13.49,13.70,13.90,13.86,13.82,14.46,14.33,14.19,14.41,15.31,15.30,15.58,15.89,16.04,16.24,16.39,16.45,16.49,16.49,16.47,16.45 
SESA OCGT Small,New Entrant,SA,Gas,Not Applicable,SA new OCGT,17.30,14.47,15.06,14.70,13.83,13.01,12.95,12.85,13.94,13.49,13.70,13.90,13.86,13.82,14.46,14.33,14.19,14.41,15.31,15.30,15.58,15.89,16.04,16.24,16.39,16.45,16.49,16.49,16.47,16.45 
NSA OCGT Small,New Entrant,SA,Gas,Not Applicable,SA new OCGT,17.30,14.47,15.06,14.70,13.83,13.01,12.95,12.85,13.94,13.49,13.70,13.90,13.86,13.82,14.46,14.33,14.19,14.41,15.31,15.30,15.58,15.89,16.04,16.24,16.39,16.45,16.49,16.49,16.47,16.45 
TAS OCGT Small,New Entrant,TAS,Gas,Not Applicable,TAS new OCGT,19.31,15.95,16.72,16.25,15.27,14.43,14.89,14.98,16.04,15.74,15.62,15.79,15.78,15.81,16.42,15.96,16.13,16.05,17.03,17.02,17.18,17.36,17.45,17.43,17.52,17.55,17.56,17.55,17.52,17.50 
NQ OCGT Large,New Entrant,QLD,Gas,Not Applicable,QLD new OCGT,15.05,14.02,14.51,15.17,14.65,13.48,13.47,13.42,13.39,13.03,12.51,12.48,11.64,12.38,12.60,12.03,11.54,11.92,12.25,12.41,13.34,14.17,13.86,14.30,14.53,14.64,14.72,14.74,14.74,14.74 
CQ OCGT Large,New Entrant,QLD,Gas,Not Applicable,QLD new OCGT,15.05,14.02,14.51,15.17,14.65,13.48,13.47,13.42,13.39,13.03,12.51,12.48,11.64,12.38,12.60,12.03,11.54,11.92,12.25,12.41,13.34,14.17,13.86,14.30,14.53,14.64,14.72,14.74,14.74,14.74 
GG OCGT Large,New Entrant,QLD,Gas,Not Applicable,QLD new OCGT,15.05,14.02,14.51,15.17,14.65,13.48,13.47,13.42,13.39,13.03,12.51,12.48,11.64,12.38,12.60,12.03,11.54,11.92,12.25,12.41,13.34,14.17,13.86,14.30,14.53,14.64,14.72,14.74,14.74,14.74 
SQ OCGT Large,New Entrant,QLD,Gas,Not Applicable,QLD new OCGT,15.05,14.02,14.51,15.17,14.65,13.48,13.47,13.42,13.39,13.03,12.51,12.48,11.64,12.38,12.60,12.03,11.54,11.92,12.25,12.41,13.34,14.17,13.86,14.30,14.53,14.64,14.72,14.74,14.74,14.74 
NNSW OCGT Large,New Entrant,NSW,Gas,Not Applicable,NSW new OCGT,18.86,15.06,15.41,14.97,14.09,13.37,13.46,13.24,14.20,13.84,14.11,14.26,14.28,14.26,14.84,14.43,14.67,14.58,15.50,15.54,15.74,15.99,16.17,16.25,16.39,16.46,16.49,16.49,16.48,16.46 
CNSW OCGT Large,New Entrant,NSW,Gas,Not Applicable,NSW new OCGT,18.86,15.06,15.41,14.97,14.09,13.37,13.46,13.24,14.20,13.84,14.11,14.26,14.28,14.26,14.84,14.43,14.67,14.58,15.50,15.54,15.74,15.99,16.17,16.25,16.39,16.46,16.49,16.49,16.48,16.46 
SNW OCGT Large,New Entrant,NSW,Gas,Not Applicable,NSW new OCGT,18.86,15.06,15.41,14.97,14.09,13.37,13.46,13.24,14.20,13.84,14.11,14.26,14.28,14.26,14.84,14.43,14.67,14.58,15.50,15.54,15.74,15.99,16.17,16.25,16.39,16.46,16.49,16.49,16.48,16.46 
WOO OCGT Large,New Entrant,NSW,Gas,Not Applicable,NSW new OCGT,18.86,15.06,15.41,14.97,14.09,13.37,13.46,13.24,14.20,13.84,14.11,14.26,14.28,14.26,14.84,14.43,14.67,14.58,15.50,15.54,15.74,15.99,16.17,16.25,16.39,16.46,16.49,16.49,16.48,16.46 
