IASR ID,Power Station,Technology Type,Region,Sub-region,REZ location,REZ ID,Status,Regional build cost zone,Maximum capacity (MW),Storage capacity (hours),SP rating (% of nameplate),ST rating (% of nameplate),W rating (% of nameplate),Min Stable Level (% of nameplate),No-Load  Heat Rate,Marginal Heat Rate,Pumping efficiency (%),Charge efficiency (%),Discharge efficiency (%),Allowable max state of charge (%),Allowable min state of charge (%),Round trip efficiency (%),Annual degradation (%),Max Ramp Up (MW/min),Max Ramp Down (MW/min),Maintenance - Proportion of time out (%),Maintenance - Equivalent average days per year on planned outage,Full outage (% of time),Partial outage (% of time),Full outage MTTR (hrs),Partial outage MTTR (hrs),Partial Outage Derating Factor (%),Locational Cost Factors,FOM ($/kW/annum),VOM ($/MWh sent-out),Heat rate (GJ/MWh HHV s.o.),Fuel cost ($/GJ),Scope 1 Emissions (kg/MWh),MLF,Auxiliary load (% of nameplate capacity),SRMC ($/MWh),Expected Closure Year (Calendar year),Retirement / Rehabilitation cost ($/MW),Build cost ($/kW),Connection cost ($/kW),Efficient Level of System Strength Cost ($/kW),Balance of Plant consumption (%),WACC (%),Total lead time (years),Economic life (years),Technical life (years)
NQ SAT - Distributed Resources,NQ SAT - Distributed Resources,Distributed Resources Solar,QLD,NQ,Not Applicable,Not Applicable,New Entrant,NQ,1.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,0.00,0.00,0.00%,0.00%,0.00,0.00,0.00%,1.086,13.27,,0.00,0.00,0.00,0.95,2.90,0.00,At the end of technical life,208000.00,1775.57,,177.31,Not Applicable,7%,1,30,30
CQ SAT - Distributed Resources,CQ SAT - Distributed Resources,Distributed Resources Solar,QLD,CQ,Not Applicable,Not Applicable,New Entrant,CQ,1.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,0.00,0.00,0.00%,0.00%,0.00,0.00,0.00%,1.132,13.83,,0.00,0.00,0.00,0.92,2.90,0.00,At the end of technical life,208000.00,1850.32,,184.77,Not Applicable,7%,1,30,30
GG SAT - Distributed Resources,GG SAT - Distributed Resources,Distributed Resources Solar,QLD,GG,Not Applicable,Not Applicable,New Entrant,GG,1.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,0.00,0.00,0.00%,0.00%,0.00,0.00,0.00%,1.097,13.40,,0.00,0.00,0.00,0.94,2.90,0.00,At the end of technical life,208000.00,1792.89,,179.04,Not Applicable,7%,1,30,30
SQ SAT - Distributed Resources,SQ SAT - Distributed Resources,Distributed Resources Solar,QLD,SQ,Not Applicable,Not Applicable,New Entrant,SQ,1.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,0.00,0.00,0.00%,0.00%,0.00,0.00,0.00%,1.000,12.22,,0.00,0.00,0.00,1.00,2.90,0.00,At the end of technical life,208000.00,1634.66,,163.24,Not Applicable,7%,1,30,30
NNSW SAT - Distributed Resources,NNSW SAT - Distributed Resources,Distributed Resources Solar,NSW,NNSW,Not Applicable,Not Applicable,New Entrant,NNSW,1.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,0.00,0.00,0.00%,0.00%,0.00,0.00,0.00%,1.077,13.16,,0.00,0.00,0.00,0.97,2.90,0.00,At the end of technical life,208000.00,1760.27,,175.78,Not Applicable,7%,1,30,30
CNSW SAT - Distributed Resources,CNSW SAT - Distributed Resources,Distributed Resources Solar,NSW,CNSW,Not Applicable,Not Applicable,New Entrant,CNSW,1.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,0.00,0.00,0.00%,0.00%,0.00,0.00,0.00%,1.053,12.87,,0.00,0.00,0.00,0.97,2.90,0.00,At the end of technical life,208000.00,1721.11,,171.87,Not Applicable,7%,1,30,30
SNW SAT - Distributed Resources,SNW SAT - Distributed Resources,Distributed Resources Solar,NSW,SNW,Not Applicable,Not Applicable,New Entrant,SNW,1.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,0.00,0.00,0.00%,0.00%,0.00,0.00,0.00%,1.000,12.22,,0.00,0.00,0.00,0.98,2.90,0.00,At the end of technical life,208000.00,1634.66,,163.24,Not Applicable,7%,1,30,30
SNSW SAT - Distributed Resources,SNSW SAT - Distributed Resources,Distributed Resources Solar,NSW,SNSW,Not Applicable,Not Applicable,New Entrant,SNSW,1.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,0.00,0.00,0.00%,0.00%,0.00,0.00,0.00%,1.007,12.31,,0.00,0.00,0.00,0.84,2.90,0.00,At the end of technical life,208000.00,1646.44,,164.41,Not Applicable,7%,1,30,30
MEL SAT - Distributed Resources,MEL SAT - Distributed Resources,Distributed Resources Solar,VIC,MEL,Not Applicable,Not Applicable,New Entrant,MEL,1.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,0.00,0.00,0.00%,0.00%,0.00,0.00,0.00%,1.000,12.22,,0.00,0.00,0.00,0.99,2.90,0.00,At the end of technical life,208000.00,1634.66,,163.24,Not Applicable,7%,1,30,30
SEV SAT - Distributed Resources,SEV SAT - Distributed Resources,Distributed Resources Solar,VIC,SEV,Not Applicable,Not Applicable,New Entrant,SEV,1.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,0.00,0.00,0.00%,0.00%,0.00,0.00,0.00%,1.001,12.24,,0.00,0.00,0.00,1.00,2.90,0.00,At the end of technical life,208000.00,1636.86,,163.46,Not Applicable,7%,1,30,30
WNV SAT - Distributed Resources,WNV SAT - Distributed Resources,Distributed Resources Solar,VIC,WNV,Not Applicable,Not Applicable,New Entrant,WNV,1.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,0.00,0.00,0.00%,0.00%,0.00,0.00,0.00%,1.000,12.22,,0.00,0.00,0.00,0.99,2.90,0.00,At the end of technical life,208000.00,1634.66,,163.24,Not Applicable,7%,1,30,30
CSA SAT - Distributed Resources,CSA SAT - Distributed Resources,Distributed Resources Solar,SA,CSA,Not Applicable,Not Applicable,New Entrant,CSA,1.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,0.00,0.00,0.00%,0.00%,0.00,0.00,0.00%,1.000,12.22,,0.00,0.00,0.00,1.00,2.90,0.00,At the end of technical life,208000.00,1634.66,,163.24,Not Applicable,7%,1,30,30
SESA SAT - Distributed Resources,SESA SAT - Distributed Resources,Distributed Resources Solar,SA,SESA,Not Applicable,Not Applicable,New Entrant,SESA,1.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,0.00,0.00,0.00%,0.00%,0.00,0.00,0.00%,1.128,13.79,,0.00,0.00,0.00,0.97,2.90,0.00,At the end of technical life,208000.00,1844.61,,184.20,Not Applicable,7%,1,30,30
NSA SAT - Distributed Resources,NSA SAT - Distributed Resources,Distributed Resources Solar,SA,NSA,Not Applicable,Not Applicable,New Entrant,NSA,1.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,0.00,0.00,0.00%,0.00%,0.00,0.00,0.00%,1.093,13.35,,0.00,0.00,0.00,1.00,2.90,0.00,At the end of technical life,208000.00,1785.98,,178.35,Not Applicable,7%,1,30,30
TAS SAT - Distributed Resources,TAS SAT - Distributed Resources,Distributed Resources Solar,TAS,TAS,Not Applicable,Not Applicable,New Entrant,TAS,1.00,0.00,100.00,100.00,100.00,0.00,0.00,0.00,not found,not found,not found,not found,not found,not found,not found,Assumed sufficiently high,Assumed sufficiently high,0.00,0.00,0.00%,0.00%,0.00,0.00,0.00%,1.000,12.22,,0.00,0.00,0.00,1.00,2.90,0.00,At the end of technical life,208000.00,1634.66,,163.24,Not Applicable,7%,1,30,30
NQ Battery - Distributed Resources,NQ Battery - Distributed Resources,Distributed Resources Batteries,QLD,NQ,Not Applicable,Not Applicable,New Entrant,NQ,1.00,2.00,100.00,100.00,100.00,0.00,0.00,0.00,not found,92.00,92.00,100.00,0.00,84.00,1.80,Assumed sufficiently high,Assumed sufficiently high,0.00,0.00,0.00%,0.00%,0.00,0.00,0.00%,1.039,12.32,,0.00,0.00,0.00,0.95,0.95,0.00,At the end of technical life,136000.00,1079.44,,169.64,Not Applicable,8%,2,20,20
CQ Battery - Distributed Resources,CQ Battery - Distributed Resources,Distributed Resources Batteries,QLD,CQ,Not Applicable,Not Applicable,New Entrant,CQ,1.00,2.00,100.00,100.00,100.00,0.00,0.00,0.00,not found,92.00,92.00,100.00,0.00,84.00,1.80,Assumed sufficiently high,Assumed sufficiently high,0.00,0.00,0.00%,0.00%,0.00,0.00,0.00%,1.066,12.64,,0.00,0.00,0.00,0.92,0.95,0.00,At the end of technical life,136000.00,1107.33,,174.02,Not Applicable,8%,2,20,20
